preset,code_profile,n,r,backend,batch_size,density,block_width,packed_word_bits,latency_per_word_us,throughput_Mword_s,mean,std,repeats,correctness_passed
lightweight,synthetic_bch_like_127_r14,127,14,PackedBlockLUT.apply_many_packed,64,0.05,8,16,0.6572918209712952,1.5213942545675938,6.572918209712952e-07,4.018166542939212e-08,3,True
lightweight,synthetic_bch_like_127_r14,127,14,Naive.apply_many,4096,0.05,8,16,1.9760172544162438,0.5060684555082089,1.9760172544162438e-06,5.918864287904132e-07,3,True
lightweight,synthetic_bch_like_127_r14,127,14,SparseXor.apply_many,4096,0.05,8,16,6.873071290177298,0.14549536266692847,6.873071290177298e-06,2.2616610239316113e-07,3,True
lightweight,synthetic_bch_like_127_r14,127,14,PackedBatch.apply_many,4096,0.05,8,16,2.234969073811044,0.4474334843008862,2.234969073811044e-06,2.101727695928947e-07,3,True
lightweight,synthetic_bch_like_127_r14,127,14,PackedBlockLUT.apply_many_packed,4096,0.05,8,16,0.17966308500187247,5.565973666708316,1.7966308500187247e-07,3.21885800878851e-09,3,True
lightweight,synthetic_511_r32,511,32,Naive.apply_many,1,0.05,8,32,34.933327697217464,0.028625958816962425,3.4933327697217464e-05,1.527854415766654e-07,3,True
lightweight,synthetic_511_r32,511,32,SparseXor.apply_many,1,0.05,8,32,15.933338242272537,0.06276148693981232,1.5933338242272537e-05,9.865840847440196e-07,3,True
lightweight,synthetic_511_r32,511,32,PackedBatch.apply_many,1,0.05,8,32,34.83334633832177,0.028708123253144185,3.483334633832177e-05,5.770186033324498e-08,3,True
lightweight,synthetic_511_r32,511,32,PackedBlockLUT.apply_many_packed,1,0.05,8,32,164.1000077749292,0.006093844927609915,0.0001641000077749292,4.0000304720905887e-07,3,True
lightweight,synthetic_511_r32,511,32,Naive.apply_many,64,0.05,8,32,23.65781256230548,0.042269334807112396,2.365781256230548e-05,9.455217684829675e-07,3,True
lightweight,synthetic_511_r32,511,32,SparseXor.apply_many,64,0.05,8,32,7.3848959800670855,0.13541152139436308,7.3848959800670855e-06,1.0571226274450116e-07,3,True
lightweight,synthetic_511_r32,511,32,PackedBatch.apply_many,64,0.05,8,32,22.344791432260536,0.044753158830394775,2.2344791432260536e-05,4.866891538094411e-07,3,True
lightweight,synthetic_511_r32,511,32,PackedBlockLUT.apply_many_packed,64,0.05,8,32,2.4161460411657267,0.41388226661891947,2.4161460411657267e-06,8.492761542646397e-08,3,True
lightweight,synthetic_511_r32,511,32,Naive.apply_many,4096,0.05,8,32,20.951578775907365,0.04772910006905636,2.0951578775907365e-05,2.997015165624934e-06,3,True
lightweight,synthetic_511_r32,511,32,SparseXor.apply_many,4096,0.05,8,32,8.905078127933544,0.11229547743811358,8.905078127933544e-06,6.134369500170863e-08,3,True
lightweight,synthetic_511_r32,511,32,PackedBatch.apply_many,4096,0.05,8,32,22.244750970420075,0.04495442548805103,2.2244750970420075e-05,2.580684798675898e-07,3,True
lightweight,synthetic_511_r32,511,32,PackedBlockLUT.apply_many_packed,4096,0.05,8,32,1.6391438795911502,0.610074571519267,1.6391438795911502e-06,5.6025871136205026e-08,3,True
