snr_db,h,batch_blocks,max_blocks,window_blocks,total_blocks,emitted_blocks,measurement_blocks,flush_blocks,total_bits,input_total_bits,pre_fec_errors,post_fec_errors,pre_fec_ber,post_fec_ber,elapsed_sec,avg_sec_per_input_block_3552bits,measurement_bits_per_sec,input_bits_per_sec,codec_init_sec,tx_gen_sec,channel_sec,decode_sec,flush_sec,batch_elapsed_sec,target_post_ber,min_post_errors,codec_mode,stop_reason,backend,block_width,external_backend_init_sec,common_table_init_sec,point_wall_sec
16.2,10,16,60000,101,60000,59900,59900,100,245350400,245760000,356769,21,0.001454120311195743,8.559187186978297e-08,867.2524333999609,0.01445420722333268,282905.4039527254,283377.7001195914,0.0010270000202581286,30.700143799185753,84.94432560080895,751.5297412013169,0.0043471999815665185,867.1857461991603,1e-09,100,batched,max_blocks_reached,block_lut,14,0.006244699994567782,2.6022896000067703,867.2592399999849
16.45,10,16,60000,101,60000,59900,59900,100,245350400,245760000,272375,24,0.001110146957168197,9.781928213689482e-08,867.5465179000166,0.014459108631666944,282809.5035109993,283281.63957696094,0.002002199995331466,30.43823399732355,84.98312139965128,752.0431706992676,0.004554100043606013,867.4760816984344,1e-09,100,batched,max_blocks_reached,block_lut,14,0.009764100017491728,2.670602200028952,867.5575330000138
