matrix_source,method,component_n,output_r,batch_size,flip_count,iterations,total_runtime_s,latency_per_word_us,throughput_Mupdate_s,repeats,mean,std,correctness_passed
galois_systematic_candidate,from_scratch.PackedBlockLUT.apply_many_packed,255,16,4096,1,1,0.0020930333412252367,0.5109944680725675,1.9569683479586861,3,0.0020930333412252367,0.00014145572467761324,True
galois_systematic_candidate,event_update.loop_update,255,16,4096,1,1,0.04532873333664611,11.066585287267117,0.0903621102663502,3,0.04532873333664611,0.001116586520805397,True
galois_systematic_candidate,event_update.batch_update_many,255,16,4096,1,1,8.43666687918206e-05,0.020597331248003076,48.54997902201289,3,8.43666687918206e-05,1.1846327299038402e-06,True
galois_systematic_candidate,from_scratch.PackedBlockLUT.apply_many_packed,255,16,4096,1,5,0.009694333362858742,0.47335612123333703,2.112574349718947,3,0.009694333362858742,0.00016517254872962359,True
galois_systematic_candidate,event_update.loop_update,255,16,4096,1,5,0.23212580000593638,11.334267578414863,0.08822802118280797,3,0.23212580000593638,0.00526848155701422,True
galois_systematic_candidate,event_update.batch_update_many,255,16,4096,1,5,0.0005107333417981863,0.024938151454989566,40.099203094699405,3,0.0005107333417981863,1.1082588332129125e-05,True
galois_systematic_candidate,from_scratch.PackedBlockLUT.apply_many_packed,255,16,4096,1,10,0.021255266658651333,0.5189274086584799,1.927051805926341,3,0.021255266658651333,0.0004736601536017646,True
galois_systematic_candidate,event_update.loop_update,255,16,4096,1,10,0.45134180000362295,11.019086914150952,0.09075162105453387,3,0.45134180000362295,0.01555094662460129,True
galois_systematic_candidate,event_update.batch_update_many,255,16,4096,1,10,0.0008968666661530733,0.021896158841627766,45.670110782118336,3,0.0008968666661530733,2.3158804971841488e-06,True
galois_systematic_candidate,from_scratch.PackedBlockLUT.apply_many_packed,255,16,4096,2,1,0.0019524666713550687,0.47667643343629607,2.09785911334264,3,0.0019524666713550687,1.755744220472425e-05,True
