backend,points,total_common_table_init_sec,total_external_backend_init_sec,total_point_wall_sec,total_wall_with_common_init_sec,total_elapsed_sec,total_codec_init_sec,total_decode_sec,total_blocks,total_emitted_blocks
syndrome_lut,2,2.414354100008495,0.0,845.703773999936,848.1181280999444,845.6997357000364,65.86890620016493,6030.7412738014245,236896,180224
block_lut,2,2.414354100008495,0.03259939991403371,806.358839299879,808.7731933998875,806.3195038998965,71.36770760023501,5703.732251907699,236896,180224
ratio_syndrome_lut_over_block_lut,2,,,1.0487933321772949,1.0486476740588548,,,1.0573324636310466,,
