snr_db,h,batch_blocks,max_blocks,window_blocks,total_blocks,emitted_blocks,measurement_blocks,flush_blocks,total_bits,input_total_bits,pre_fec_errors,post_fec_errors,pre_fec_ber,post_fec_ber,elapsed_sec,avg_sec_per_input_block_3552bits,measurement_bits_per_sec,input_bits_per_sec,codec_init_sec,tx_gen_sec,channel_sec,decode_sec,flush_sec,batch_elapsed_sec,target_post_ber,min_post_errors,codec_mode,stop_reason,backend,block_width,external_backend_init_sec,common_table_init_sec,point_wall_sec
13.7,10,16,60000,101,112,12,12,100,49152,458752,543,455,0.01104736328125,0.009256998697916666,0.46860469999955967,0.004183970535710354,104890.11313810166,978974.3892889488,0.002466800040565431,0.0735813999781385,0.19240679999347776,0.1975969999912195,0.0021989999804645777,0.4636431999388151,1e-09,100,batched,target_errors_reached,syndrome_lut,,0.0,4.146083100000396,0.4691758999833837
13.95,10,16,60000,101,112,12,12,100,49152,458752,466,334,0.009480794270833334,0.006795247395833333,0.4339758999994956,0.0038747848214240677,113259.74552977971,1057090.958277944,0.0013908999972045422,0.06613380002090707,0.19443500007037073,0.16778239991981536,0.0038920000079087913,0.42838150006718934,1e-09,100,batched,target_errors_reached,syndrome_lut,,0.0,4.252063300053123,0.43499569996492937
14.2,10,16,60000,101,112,12,12,100,49152,458752,436,322,0.008870442708333334,0.006551106770833333,0.49350380001123995,0.004406283928671785,99598.01727743642,929581.4945894065,0.0019392999820411205,0.07438539998838678,0.19334679993335158,0.21788230014499277,0.005651899962686002,0.4856463000178337,1e-09,100,batched,target_errors_reached,syndrome_lut,,0.0,4.3043833000119776,0.49455349997151643
14.45,10,16,60000,101,112,12,12,100,49152,458752,326,177,0.006632486979166667,0.00360107421875,0.4369692000327632,0.003901510714578243,112483.9004586929,1049849.737614467,0.0025616000057198107,0.06823159992927685,0.18504579993896186,0.17683619988383725,0.0039994000107981265,0.4301467999466695,1e-09,100,batched,target_errors_reached,syndrome_lut,,0.0,4.271731400047429,0.437856099975761
14.7,10,16,60000,101,112,12,12,100,49152,458752,275,137,0.005594889322916667,0.0027872721354166665,0.49603829998522997,0.004428913392725268,99089.12275818933,924831.8124097672,0.0014247000217437744,0.07804400002351031,0.2219066999386996,0.1922759999288246,0.002160899981390685,0.49226330005330965,1e-09,100,batched,target_errors_reached,syndrome_lut,,0.0,1.600012183189392e-06,0.49663870001677424
14.95,10,16,60000,101,112,12,12,100,49152,458752,253,116,0.005147298177083333,0.0023600260416666665,0.5094129000208341,0.004548329464471733,96487.54477554411,900550.4179050784,0.0020875000045634806,0.07485059992177412,0.17895950004458427,0.2476603999384679,0.005628200015053153,0.5015000999555923,1e-09,100,batched,target_errors_reached,syndrome_lut,,0.0,2.7999631129205227e-06,0.5102564000408165
15.2,10,16,60000,101,60000,59900,59900,100,245350400,245760000,926537,61,0.003776382675553005,2.486240087646077e-07,1112.396866999974,0.0185399477833329,220560.13216010408,220928.34607022113,0.002183099975809455,39.52197530050762,104.26212050154572,968.5188480962534,0.0028248000307939947,1112.3162869002554,1e-09,100,batched,max_blocks_reached,syndrome_lut,,0.0,1.800013706088066e-06,1112.3978014999884
15.45,10,16,60000,101,60000,59900,59900,100,245350400,245760000,744326,34,0.0030337264581594323,1.38577316360601e-07,1111.9178753999877,0.018531964589999794,220655.1449779874,221023.517507166,0.002237599983345717,39.53611119958805,104.15700349968392,968.126041201409,0.005560400022659451,1111.8325193995843,1e-09,100,batched,max_blocks_reached,syndrome_lut,,0.0,1.7999554984271526e-06,1111.9188049000222
15.7,10,16,60000,101,60000,59900,59900,100,245350400,245760000,590824,30,0.002408082481218698,1.2227410267111852e-07,1115.6769931000308,0.01859461655166718,219911.67830598264,220278.80965540832,0.0022838999866507947,39.533152099349536,104.29941860213876,971.7454750028555,0.0026935000205412507,1115.591796399618,1e-09,100,batched,max_blocks_reached,syndrome_lut,,0.0,2.300017513334751e-06,1115.677719099971
15.95,10,16,60000,101,60000,59900,59900,100,245350400,245760000,462195,26,0.0018838159628025877,1.0597088898163606e-07,1109.5829459999804,0.018493049099999673,221119.47636225144,221488.62406903316,0.0026368999970145524,39.337284300650936,104.09580320096575,966.0500933985459,0.0024826000444591045,1109.4966724009137,1e-09,100,batched,max_blocks_reached,syndrome_lut,,0.0,2.100015990436077e-06,1109.583726199984
