snr_db,h,batch_blocks,max_blocks,window_blocks,total_blocks,emitted_blocks,measurement_blocks,warmup_blocks_total,discard_blocks_total,dropped_measurement_blocks,flush_blocks,total_bits,input_total_bits,pre_fec_errors,post_fec_errors,pre_fec_ber,post_fec_ber,elapsed_sec,avg_sec_per_input_block_3552bits,measurement_bits_per_sec,input_bits_per_sec,codec_init_sec,tx_gen_sec,channel_sec,decode_sec,flush_sec,batch_elapsed_sec,target_post_ber,min_post_errors,codec_mode,stop_reason,backend,block_width,external_backend_init_sec,common_table_init_sec,point_wall_sec
13.7,10,16,500000,101,19616,16384,16384,2424,808,0,800,67108864,80347136,761516,310970,0.011347472667694092,0.004633814096450806,39.044986499939114,0.0019904662775254442,1718757.5157723424,2057809.291344621,30.448315100045875,10.182646400877275,30.710146997706033,223.32553499971982,0.027282800059765577,294.6984788996633,1e-09,200,batched,target_errors_reached,block_lut,14,0.00510860001668334,2.204468599986285,39.052120800013654
13.95,10,16,500000,101,78464,65536,65536,9696,3232,0,3200,268435456,321388544,2600406,225,0.009687267243862152,8.381903171539307e-07,182.49764900002629,0.0023258774597270885,1470898.159350871,1761055.8040665702,33.77088140009437,50.82910970598459,137.74155229947064,1203.499087800039,0.12016390007920563,1425.9795003068866,1e-09,200,batched,target_errors_reached,block_lut,14,0.015594199998304248,0.0,182.51654290000442
14.2,10,16,500000,101,510016,425984,425984,63024,21008,0,20800,1744830464,2089025536,14266540,0,0.008176462008402897,0.0,929.7332685000729,0.0018229492182599621,1876700.041953875,2246908.448667432,32.74861909856554,265.89375128794927,829.2982857932802,6217.6240085160825,0.6008794998051599,7346.280278790509,1e-09,200,batched,max_blocks_reached,block_lut,14,0.005366199999116361,0.0,929.7406537999632
