profile,task,measurement_mode,block_width,batch_size,input_width,output_width,lut_table_bytes,cache_level_fit,theoretical_ops,theoretical_continuous_ops,predicted_l1_w,predicted_l2_w,predicted_l3_w,backend,processed_bits,packed_word_bits,build_init_s,kernel_build_s,exactness_elapsed_s,timing_elapsed_s,elapsed_s,throughput_Mbit_s,throughput_Mcodeword_s,ns_per_bit,median_runtime_s,min_runtime_s,max_runtime_s,stdev_runtime_s,cv,samples_s,warmups,repeats,correctness_passed,timed,skip_reason,affinity_status,frequency_lock_status,cache_flush_bytes,measurement_order,cpu_model,l1d_bytes,l2_bytes,l3_bytes,python_version,numpy_version,thread_count,seed,notes,round_index,probe_iterations,probe_before_ns_per_iter,probe_after_ns_per_iter,probe_ns_per_iter,throughput_norm_Mbit_s,normalization_note,normalization_reference_probe_ns_per_iter
bch_255_239_r16,syndrome,natural,9,1000,255,16,29696,L1,725,708.3333333333333,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.1546928000170738,0.0021878000115975,0.0067550999810919,0.0157704000594094,0.0251965000061318,494.2817545832743,1.9383598218951932,2.0231375945549384,0.0005159000866115,0.0004518000641837,0.0006606000242754,8.864720623931872e-05,0.1655471833938901,0.000660600024275;0.00058839994017;0.000515900086612;0.000460699899122;0.000451800064184,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053524,101.46200191229582,100.80700158141552,477.06507281816187,throughput scaled by row_probe/reference_probe,104.44500017911196
bch_255_231_r24,syndrome,natural,9,1000,255,24,44544,L2,957,935.0,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.0880096000619232,0.002384899999015,0.0097540999995544,0.0182708000065758,0.0308974999934434,531.1392941464024,2.08289919273099,1.8827452817383932,0.0004801000468432,0.0004738999996334,0.0005432000616565,2.899025855465068e-05,0.058966436515601,0.000480100046843;0.000478599919006;0.000473899999633;0.000543200061657;0.000482399947941,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053524,101.46200191229582,100.80700158141552,512.6388010258852,throughput scaled by row_probe/reference_probe,104.44500017911196
bch_255_239_r16,syndrome,natural,10,1000,255,16,53248,L2,676,663.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.1546928000170738,0.0028819000581279,0.0065258999820798,0.014980399981141,0.0248754000058397,566.0378139137648,2.219756132995156,1.7666664230180722,0.0004504999378696,0.0004410999827086,0.0005097000394016,2.7631073966216775e-05,0.0598982747810736,0.000509700039402;0.000456799985841;0.00045049993787;0.000448400038294;0.000441099982709,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053524,101.46200191229582,100.80700158141552,546.3217454592668,throughput scaled by row_probe/reference_probe,104.44500017911196
bch_255_231_r24,syndrome,natural,10,1000,255,24,79872,L2,884,867.0,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.0880096000619232,0.0023178999545052,0.0098673000466078,0.0164591000648215,0.0291115000145509,580.7333611606007,2.2773857300415714,1.72196065678316,0.0004390999674797,0.0004288000054657,0.0004578001098707,1.0695128325691426e-05,0.0242080748935531,0.000457800109871;0.000438100076281;0.000445200013928;0.000428800005466;0.00043909996748,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053524,101.46200191229582,100.80700158141552,560.5054215759894,throughput scaled by row_probe/reference_probe,104.44500017911196
bch_255_239_r16,syndrome,natural,11,1000,255,16,98304,L2,648,625.909090909091,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.1546928000170738,0.0022522000363096,0.0066198999993503,0.016694699996151,0.026029200060293,570.3421691003396,2.236635957256233,1.7533334446888345,0.0004471000283956,0.0004287000047042,0.0015923000173643,0.0005142967469612,0.7647990190677746,0.000447100028396;0.000454799970612;0.00159230001736;0.000439399969764;0.000428700004704,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053524,101.46200191229582,100.80700158141552,550.4761725678494,throughput scaled by row_probe/reference_probe,104.44500017911196
bch_255_231_r24,syndrome,natural,11,1000,255,24,147456,L2,840,811.3636363636364,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.0880096000619232,0.0023069999879226,0.0102511000586673,0.0163818000582978,0.0294631000142544,520.5143853263942,2.0412328836329183,1.9211764903921704,0.00048990000505,0.000484799966216,0.000501099973917,7.363583451778241e-06,0.0149326398400339,0.000501099973917;0.000500700087287;0.00048990000505;0.000484799966216;0.000489099998958,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053524,101.46200191229582,100.80700158141552,502.38397601382906,throughput scaled by row_probe/reference_probe,104.44500017911196
bch_255_239_r16,syndrome,natural,12,1000,255,16,180224,L2,616,595.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.1546928000170738,0.002319399965927,0.0071971999714151,0.0171745000407099,0.0272066000616177,557.3770599367158,2.1857923919086897,1.7941176124355371,0.000457499991171,0.0004526999546214,0.0014204999897629,0.0004508776355065,0.584008137491557,0.000452699954621;0.000455199973658;0.000457499991171;0.00142049998976;0.00107430003118,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053524,101.46200191229582,100.80700158141552,537.9626604062397,throughput scaled by row_probe/reference_probe,104.44500017911196
bch_255_231_r24,syndrome,natural,12,1000,255,24,270336,L2,792,765.0,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.0880096000619232,0.00227779999841,0.0117643000558018,0.0157526999246329,0.0302819999633356,587.2869015242309,2.303085888330317,1.7027452807216084,0.000434200046584,0.0004185000434517,0.0004375999560579,8.038937937506921e-06,0.0186561568150139,0.000418500043452;0.000427299994044;0.000434200046584;0.000437599956058;0.000436899950728,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053524,101.46200191229582,100.80700158141552,566.8306908820108,throughput scaled by row_probe/reference_probe,104.44500017911196
bch_255_239_r16,syndrome,natural,13,1000,255,16,327680,L2,580,568.8461538461539,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.1546928000170738,0.0021964999614283,0.0068468000972643,0.0152044000569731,0.024706199998036,574.5831413302458,2.2532672209029245,1.7403921696777438,0.0004438000032678,0.0004335000412538,0.0004521999508142,8.643092569824571e-06,0.0195086055863363,0.000443800003268;0.00043499993626;0.000450700055808;0.000433500041254;0.000452199950814,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053524,101.46200191229582,100.80700158141552,554.5694244569178,throughput scaled by row_probe/reference_probe,104.44500017911196
bch_255_231_r24,syndrome,natural,13,1000,255,24,491520,L2,740,725.7692307692308,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.0880096000619232,0.0025803999742493,0.0112574000377208,0.016124999965541,0.0304506999673321,600.565275374621,2.3551579426455724,1.6650979352347992,0.0004245999734848,0.0004187999293208,0.0004351999377831,6.12264612473554e-06,0.014402159659057,0.000422300072387;0.000424599973485;0.000435199937783;0.000424700090662;0.000418799929321,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053524,101.46200191229582,100.80700158141552,579.6465561837431,throughput scaled by row_probe/reference_probe,104.44500017911196
