backend,source_csv,snr_points,snr_min,snr_max,total_decode_sec,total_elapsed_sec,reference_decode_over_block_lut
reference syndrome backend,D:\PKU\acp2026\fec_linear_backend\results\raw\round31_fig4_real_ofec_syndrome_lut_ber.csv,10,13.5,13.95,19072.018519296194,3593.590825500083,1.1125625601918068
block-LUT backend,D:\PKU\acp2026\fec_linear_backend\results\raw\round31_fig4_real_ofec_block_lut_ber.csv,10,13.5,13.95,17142.423448087415,3252.980400000117,1.1125625601918068
