preset,workload_type,code_profile,n,r,num_blocks,window_len,num_iterations_or_steps,num_syndrome_calls,num_candidate_tests,num_executed_candidate_tests,num_event_updates,backend_or_method,block_width,batch_size,density,total_runtime_s,latency_per_component_us,throughput_Mcomponent_s,mean,std,repeats,correctness_passed,notes
lightweight,product_like,bch_255_239_r16,255,16,32,4,3,192,0,0,0,Naive.apply_many,8,64,0.05,0.0011287999999088545,5.879166666191951,0.1700921332525719,0.0011287999999088545,4.380549282955207e-05,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,255,16,32,4,3,192,0,0,0,PackedBatch.apply_many,8,64,0.05,0.0010555333380276959,5.497569468894249,0.18189856547663316,0.0010555333380276959,5.85950989394182e-07,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,255,16,32,4,3,192,0,0,0,PackedBlockLUT.apply_many_packed,8,64,0.05,0.00041993332949156564,2.187152757768571,0.4572154352036406,0.00041993332949156564,7.321428239597956e-06,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,255,16,32,4,3,192,0,0,0,EventUpdate.integrated,8,64,0.05,0.0012495000070581834,6.507812536761372,0.1536614637178305,0.0012495000070581834,7.439241876200939e-05,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,255,16,32,8,1,64,0,0,0,Naive.apply_many,8,64,0.05,0.0003962333236510555,6.191145682047742,0.16152099326295397,0.0003962333236510555,7.600880647288164e-06,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,255,16,32,8,1,64,0,0,0,PackedBatch.apply_many,8,64,0.05,0.00036933333224927384,5.770833316394904,0.1732851990645798,0.00036933333224927384,2.8112940336442638e-06,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,255,16,32,8,1,64,0,0,0,PackedBlockLUT.apply_many_packed,8,64,0.05,0.00013786666871358952,2.1541666986498362,0.46421662753712073,0.00013786666871358952,5.131640513992022e-07,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,255,16,32,8,1,64,0,0,0,EventUpdate.integrated,8,64,0.05,0.0003683666776244839,5.755729337882561,0.17373992786948592,0.0003683666776244839,1.8963465507101668e-05,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,255,16,32,8,3,192,0,0,0,Naive.apply_many,8,64,0.05,0.0012367333401925862,6.44131948016972,0.15524769468097419,0.0012367333401925862,4.540665895377521e-05,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,255,16,32,8,3,192,0,0,0,PackedBatch.apply_many,8,64,0.05,0.0011103333478483062,5.782986186709928,0.17292104247077975,0.0011103333478483062,4.769585273953779e-05,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,255,16,32,8,3,192,0,0,0,PackedBlockLUT.apply_many_packed,8,64,0.05,0.0004015333252027631,2.0913194020977244,0.47816703608111577,0.0004015333252027631,1.8876685427766826e-06,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,255,16,32,8,3,192,0,0,0,EventUpdate.integrated,8,64,0.05,0.0013779333288160462,7.176736087583574,0.13933910733182647,0.0013779333288160462,6.026941542886745e-05,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,ebch_256_239_r17,256,17,8,4,1,16,0,0,0,Naive.apply_many,8,64,0.05,0.00011966666594768564,7.479166621730353,0.1337047361793691,0.00011966666594768564,2.8919591483020147e-06,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,ebch_256_239_r17,256,17,8,4,1,16,0,0,0,PackedBatch.apply_many,8,64,0.05,0.0001276333350688219,7.977083441801369,0.12535909988854047,0.0001276333350688219,1.950199661554718e-06,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,ebch_256_239_r17,256,17,8,4,1,16,0,0,0,PackedBlockLUT.apply_many_packed,8,64,0.05,0.00015529999897504845,9.706249935940528,0.10302640119508737,0.00015529999897504845,3.893581225271812e-06,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,ebch_256_239_r17,256,17,8,4,1,16,0,0,0,EventUpdate.integrated,8,64,0.05,0.00011646666098386049,7.279166311491281,0.13737836961100156,0.00011646666098386049,3.865656846025781e-06,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,ebch_256_239_r17,256,17,8,4,3,48,0,0,0,Naive.apply_many,8,64,0.05,0.00041446666000410914,8.634722083418941,0.11581148650056464,0.00041446666000410914,5.606154453998665e-05,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,ebch_256_239_r17,256,17,8,4,3,48,0,0,0,PackedBatch.apply_many,8,64,0.05,0.00035286665661260486,7.3513886794292675,0.1360287210494271,0.00035286665661260486,1.1250924038064309e-05,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,ebch_256_239_r17,256,17,8,4,3,48,0,0,0,PackedBlockLUT.apply_many_packed,8,64,0.05,0.0003704333212226629,7.717360858805478,0.12957797598112883,0.0003704333212226629,3.1770071625067876e-06,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,ebch_256_239_r17,256,17,8,4,3,48,0,0,0,EventUpdate.integrated,8,64,0.05,0.00038433333005135256,8.006944376069844,0.12489158823042097,0.00038433333005135256,3.910423964685855e-05,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,ebch_256_239_r17,256,17,8,8,1,16,0,0,0,Naive.apply_many,8,64,0.05,0.00011633334603781502,7.270834127363439,0.13753580159895926,0.00011633334603781502,6.658378818274706e-07,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,ebch_256_239_r17,256,17,8,8,1,16,0,0,0,PackedBatch.apply_many,8,64,0.05,0.00012179999612271786,7.612499757669866,0.13136289416527916,0.00012179999612271786,1.8520400199842853e-06,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,ebch_256_239_r17,256,17,8,8,1,16,0,0,0,PackedBlockLUT.apply_many_packed,8,64,0.05,0.00014009999965007106,8.756249978129441,0.11420414018532002,0.00014009999965007106,3.994993779645232e-06,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,ebch_256_239_r17,256,17,8,8,1,16,0,0,0,EventUpdate.integrated,8,64,0.05,0.0001161333251123627,7.258332819522669,0.13777268483890812,0.0001161333251123627,1.2503435859019293e-06,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,ebch_256_239_r17,256,17,8,8,3,48,0,0,0,Naive.apply_many,8,64,0.05,0.00036426666580761474,7.5888888709919735,0.13177159621119686,0.00036426666580761474,1.2400162015709022e-05,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,ebch_256_239_r17,256,17,8,8,3,48,0,0,0,PackedBatch.apply_many,8,64,0.05,0.0003320999870387216,6.918749729973367,0.14453478432205835,0.0003320999870387216,1.5620804614688166e-06,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,ebch_256_239_r17,256,17,8,8,3,48,0,0,0,PackedBlockLUT.apply_many_packed,8,64,0.05,0.0003619333341096838,7.540277793951747,0.1326211085753533,0.0003619333341096838,4.933117096707764e-07,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,ebch_256_239_r17,256,17,8,8,3,48,0,0,0,EventUpdate.integrated,8,64,0.05,0.0004477666613335411,9.32847211111544,0.10719869107058158,0.0004477666613335411,8.373766854940583e-05,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,ebch_256_239_r17,256,17,32,4,1,64,0,0,0,Naive.apply_many,8,64,0.05,0.00043376665174340207,6.777603933490657,0.14754476800549363,0.00043376665174340207,6.277197753086616e-06,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,ebch_256_239_r17,256,17,32,4,1,64,0,0,0,PackedBatch.apply_many,8,64,0.05,0.00038979999953880906,6.090624992793892,0.16418676263653528,0.00038979999953880906,9.206531365726321e-06,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,ebch_256_239_r17,256,17,32,4,1,64,0,0,0,PackedBlockLUT.apply_many_packed,8,64,0.05,0.00012989999959245324,2.029687493632082,0.49268668360887496,0.00012989999959245324,3.0347695034594766e-06,3,True,trace-level workload only; no BER; no full decoder
