profile,task,measurement_mode,block_width,batch_size,input_width,output_width,lut_table_bytes,cache_level_fit,theoretical_ops,theoretical_continuous_ops,predicted_l1_w,predicted_l2_w,predicted_l3_w,backend,processed_bits,packed_word_bits,build_init_s,kernel_build_s,exactness_elapsed_s,timing_elapsed_s,elapsed_s,throughput_Mbit_s,throughput_Mcodeword_s,ns_per_bit,median_runtime_s,min_runtime_s,max_runtime_s,stdev_runtime_s,cv,samples_s,warmups,repeats,correctness_passed,timed,skip_reason,affinity_status,frequency_lock_status,cache_flush_bytes,measurement_order,cpu_model,l1d_bytes,l2_bytes,l3_bytes,python_version,numpy_version,thread_count,seed,notes,round_index,probe_iterations,probe_before_ns_per_iter,probe_after_ns_per_iter,probe_ns_per_iter,throughput_norm_Mbit_s,normalization_note,normalization_reference_probe_ns_per_iter
bch_255_231_r24,syndrome,natural,17,1000,255,24,5898240,L3,615,615.0,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.08800960006192327,0.005734000005759299,0.010851899976842105,0.026429899968206882,0.04350010002963245,415.1741966945025,1.6281341046843236,2.4086275302311955,0.0006142000202089548,0.0004741000011563301,0.0011522999266162515,0.0002797344563906903,0.3984821371340514,0.000778799992986;0.00115229992662;0.00049060001038;0.000474100001156;0.000614200020209,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053525,101.46200191229582,100.80700158141553,400.7129669297061,throughput scaled by row_probe/reference_probe,104.44500017911196
bch_255_239_r16,syndrome,natural,18,1000,255,16,7864320,L3,510,481.66666666666663,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.1546928000170738,0.00503000000026077,0.006704899948090315,0.014781599980778992,0.027022199938073754,587.6929568227715,2.3046782620500847,1.7015688011751455,0.0004339000442996621,0.00042269995901733637,0.0008064000867307186,0.0001641268758748563,0.31548299794655726,0.000806400086731;0.000511899939738;0.0004339000443;0.000422699959017;0.00042629998643,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053525,101.46200191229582,100.80700158141553,567.2226025776586,throughput scaled by row_probe/reference_probe,104.44500017911196
bch_255_231_r24,syndrome,natural,18,1000,255,24,11796480,L3,630,595.0,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.08800960006192327,0.006768400082364678,0.013022499973885715,0.0148736999835819,0.035226000007241964,554.8302785608878,2.175805013964266,1.8023529692607767,0.00045960000716149807,0.00043810007628053427,0.0005752000724896789,5.678276921583012e-05,0.1194169669920612,0.000438100076281;0.000441599986516;0.000459600007161;0.000462999916635;0.00057520007249,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053525,101.46200191229582,100.80700158141553,535.5045877963461,throughput scaled by row_probe/reference_probe,104.44500017911196
bch_255_239_r16,syndrome,natural,19,1000,255,16,14680064,L3,490,469.7368421052631,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.1546928000170738,0.00692650000564754,0.00670859997626394,0.016132199903950095,0.030310000060126185,555.0718260125649,2.1767522588728037,1.801568649563135,0.0004594000056385994,0.0004430001135915518,0.0010859000030905008,0.00027975251179552667,0.4765313798983944,0.00108590000309;0.000499599962495;0.000459400005639;0.000447399914265;0.000443000113592,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053525,101.46200191229582,100.80700158141553,535.7377217357538,throughput scaled by row_probe/reference_probe,104.44500017911196
bch_255_231_r24,syndrome,natural,19,1000,255,24,22020096,DRAM,602,577.1052631578947,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.08800960006192327,0.015630700043402612,0.008995699929073453,0.016353600076399744,0.04149229999165982,560.3163040150616,2.1973188392747516,1.7847062325945087,0.00045510008931159973,0.00044920004438608885,0.0006962999468669295,0.00010813777880718152,0.2149514513959455,0.000455100089312;0.000451799947768;0.000449200044386;0.000696299946867;0.000463000033051,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053525,101.46200191229582,100.80700158141553,540.7995255692044,throughput scaled by row_probe/reference_probe,104.44500017911196
bch_255_239_r16,syndrome,natural,20,1000,255,16,27262976,DRAM,468,459.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.1546928000170738,0.01493299996946007,0.0066241000313311815,0.014185999985784292,0.0362524000229314,619.6840974573083,2.430133715518856,1.613725451569931,0.00041149999015033245,0.00041069998405873775,0.0004206000594422221,4.111965161901075e-06,0.009947660922667717,0.000411299988627;0.000410699984059;0.000420600059442;0.00041149999015;0.000412699999288,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053525,101.46200191229582,100.80700158141553,598.0994368828588,throughput scaled by row_probe/reference_probe,104.44500017911196
bch_255_231_r24,syndrome,natural,20,1000,255,24,40894464,DRAM,572,561.0,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.08800960006192327,0.03017450007610023,0.009382299962453544,0.0173300999449566,0.057393700000829995,494.377583477423,1.9387356214800904,2.022745434706118,0.00051580008585006,0.0005009999731555581,0.0006061999592930079,4.348819718968312e-05,0.0806831141975112,0.000558899948373;0.000606199959293;0.00051580008585;0.000500999973156;0.000513099948876,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053525,101.46200191229582,100.80700158141553,477.1575638274723,throughput scaled by row_probe/reference_probe,104.44500017911196
bch_255_239_r16,syndrome,natural,21,1000,255,16,54525952,DRAM,481,449.2857142857143,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.1546928000170738,0.03331079997587949,0.006873500067740679,0.017590900068171322,0.05833949998486787,537.2945582239722,2.1070374832312635,1.8611764900532424,0.0004746000049635768,0.0004686999600380659,0.0004986000712960958,1.1592621093447833e-05,0.02419464303460942,0.000479999929667;0.000474600004964;0.000468699960038;0.000473799998872;0.000498600071296,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053525,101.46200191229582,100.80700158141553,518.5796666923846,throughput scaled by row_probe/reference_probe,104.44500017911196
bch_255_231_r24,syndrome,natural,21,1000,255,24,81788928,DRAM,585,546.4285714285714,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.08800960006192327,0.0665014999685809,0.0091474000364542,0.016588900005444884,0.09279149991925806,536.3903956039381,2.103491747466424,1.8643137688438098,0.0004754000110551715,0.00046200002543628216,0.0007595999632030725,0.00012991423560067698,0.24624557079376838,0.000475400011055;0.000462000025436;0.000462499912828;0.000478400033899;0.000759599963203,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053525,101.46200191229582,100.80700158141553,517.7069976080692,throughput scaled by row_probe/reference_probe,104.44500017911196
bch_255_239_r16,syndrome,natural,22,1000,255,16,100663296,DRAM,456,440.4545454545455,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.1546928000170738,0.06033949996344745,0.006579700042493641,0.01607519993558526,0.08354579994920641,582.5907181496963,2.284669482939985,1.7164708754303408,0.0004377000732347369,0.00042289996054023504,0.00045439996756613255,1.1153251810407674e-05,0.025446616930126394,0.000437599956058;0.00042289996054;0.000437700073235;0.000454399967566;0.000438899965957,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053525,101.46200191229582,100.80700158141553,562.2980836336841,throughput scaled by row_probe/reference_probe,104.44500017911196
