dataset,raw_cv,norm_cv,count,task,backend,batch_size,profile,block_width
fig4_width,0.05050807128640138,0.05305194016439771,6,syndrome,,,bch_255_231_r24,10.0
fig4_width,0.03973579035659468,0.06384787719100878,6,syndrome,,,bch_255_231_r24,11.0
fig4_width,0.0474838797703223,0.0700111047167612,6,syndrome,,,bch_255_231_r24,12.0
fig4_width,0.052781461925464804,0.028397844790113817,6,syndrome,,,bch_255_231_r24,13.0
fig4_width,0.06839074742347122,0.06841420069895683,6,syndrome,,,bch_255_231_r24,14.0
fig4_width,0.14654222159476965,0.15706172621912437,6,syndrome,,,bch_255_231_r24,15.0
fig4_width,0.03999178987105207,0.07042487383997885,6,syndrome,,,bch_255_231_r24,16.0
fig4_width,0.0989983372234211,0.12132715641868731,6,syndrome,,,bch_255_231_r24,17.0
fig4_width,0.053563541234838356,0.07382383635234194,6,syndrome,,,bch_255_231_r24,18.0
fig4_width,0.022909635700861335,0.0447373865113767,6,syndrome,,,bch_255_231_r24,19.0
fig4_width,0.07480302989651988,0.08360991492316751,6,syndrome,,,bch_255_231_r24,20.0
fig4_width,0.025559567622941332,0.058768670714877416,6,syndrome,,,bch_255_231_r24,21.0
fig4_width,0.042886726566773004,0.06199637549674514,6,syndrome,,,bch_255_231_r24,22.0
fig4_width,0.08981154895547111,0.09494584325746856,6,syndrome,,,bch_255_231_r24,23.0
fig4_width,0.03158950076738817,0.047761616362322644,6,syndrome,,,bch_255_239_r16,4.0
fig4_width,0.018309495769550516,0.05489793948725735,6,syndrome,,,bch_255_239_r16,5.0
fig4_width,0.03776102680793568,0.047468817747179974,6,syndrome,,,bch_255_239_r16,6.0
fig4_width,0.022693935502485774,0.03767523854964337,6,syndrome,,,bch_255_239_r16,7.0
fig4_width,0.049896525566458204,0.0400381478875421,6,syndrome,,,bch_255_239_r16,8.0
fig4_width,0.04797709281545905,0.07508957572208472,6,syndrome,,,bch_255_239_r16,9.0
fig4_width,0.041374162537094306,0.03436993634324591,6,syndrome,,,bch_255_239_r16,10.0
fig4_width,0.04371799578690567,0.026197880892548958,6,syndrome,,,bch_255_239_r16,11.0
