task,batch_size,lut_median_Mbit_s,direct_median_Mbit_s,lut_vs_direct_median,lut_cv,direct_cv
parity,1,5.523761221822446,21.88815492632504,0.2523630356425785,0.3199548125984295,0.2996550322019483
parity,10,60.15036274331207,38.437612192566085,1.5648829183761128,0.2186536018315264,0.1803852113607557
parity,100,387.3581586923749,44.95861775605295,8.615882294117537,0.3037579699802064,0.2710653697277101
parity,1000,631.3435666614027,45.65163467740593,13.829593860608666,0.2203706809521598,0.2195121663756616
parity,10000,303.8277229465977,43.59106477389681,6.969954152818395,0.2403676430446819,0.2153987788943692
parity,100000,271.9030989517804,44.81281932945617,6.067529403869804,0.2659565162904427,0.2594059444956957
syndrome,1,5.875578578927744,23.38728527119292,0.25122961091020407,0.3686252902425055,0.269139945884668
syndrome,10,61.78898543894689,38.28161752146638,1.6140641237089517,0.2597528543095802,0.2194618667050759
syndrome,100,369.2976002023148,49.78035902169338,7.418540313085762,0.3169663094042104,0.2631946521608879
syndrome,1000,589.7316850389631,43.5611710191719,13.53801266681774,0.3222256011933622,0.2546543000315814
syndrome,10000,302.452121457284,43.76006282511749,6.911601627858769,0.2803336525774151,0.229874209826961
syndrome,100000,271.3923706661846,44.84449249821228,6.051855100757437,0.2141090677950733,0.2121014497555803
