profile,task,backend,baseline_role,batch_size,representative_batch_size,is_representative_batch,input_width,output_width,processed_bits,block_width,block_width_source,lut_table_bytes,packed_word_bits,median_runtime_s,min_runtime_s,max_runtime_s,stdev_runtime_s,cv,throughput_Mbit_s,throughput_Mcodeword_s,round_count,correctness_passed,timed,skip_reason,warmups,repeats,build_init_s,affinity_status,frequency_lock_status,galois_available,galois_version,cpu_model,l1d_bytes,l2_bytes,l3_bytes,python_version,numpy_version,thread_count,seed,notes
bch_1023_993_r30,syndrome,PackedBatchGF2Kernel.apply_many,fair vectorized same-task baseline,700,1000,False,1023,30,716100,,,,32,0.03712340001948178,0.03606850001960993,0.03857660002540797,0.0008578800046228713,0.023028413043016772,19.289720220243886,0.01885603149583958,10,True,True,,30,10,1.7787444000132382,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,headline fair baseline for fixed xA; chunked_online=False; chunk_size=700
bch_1023_993_r30,syndrome,PackedBlockLUTKernel.apply_many_packed,packed block-LUT kernel under test,700,1000,False,1023,30,716100,14,round32_cache_width_decision_summary:round32_cache_width_decision_summary.csv,4849664,32,0.0015707500278949738,0.0013974999310448766,0.002274499973282218,0.0002557340996041963,0.1559944008719325,455.8968564588695,0.4456469760106251,10,True,True,,30,10,1.7787444000132382,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,block width selected from cache sweep; chunked_online=False; chunk_size=700
bch_1023_993_r30,syndrome,galois_per_codeword,"naive library-call baseline, per-codeword",1000,1000,True,1023,30,1023000,,,,32,0.0563846500008367,0.054205400054343045,0.057592299999669194,0.0010135119742397426,0.017987282768433824,18.14323579174154,0.01773532335458606,10,True,True,,30,10,1.7787444000132382,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,"naive library-call baseline, per-codeword galois GF(2) matmul; chunked_online=False; chunk_size=1000"
bch_1023_993_r30,syndrome,PackedBatchGF2Kernel.apply_many,fair vectorized same-task baseline,1000,1000,True,1023,30,1023000,,,,32,0.052452400035690516,0.050579699920490384,0.05547719995956868,0.001569288362238017,0.029699720078610808,19.503397352721965,0.019064904548115314,10,True,True,,30,10,1.7787444000132382,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,headline fair baseline for fixed xA; chunked_online=False; chunk_size=1000
bch_1023_993_r30,syndrome,PackedBlockLUTKernel.apply_many_packed,packed block-LUT kernel under test,1000,1000,True,1023,30,1023000,14,round32_cache_width_decision_summary:round32_cache_width_decision_summary.csv,4849664,32,0.0020556499948725104,0.0018789999885484576,0.003176300087943673,0.0004025086975863807,0.18266954864580903,497.6528117878577,0.48646413664502214,10,True,True,,30,10,1.7787444000132382,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,block width selected from cache sweep; chunked_online=False; chunk_size=1000
bch_1023_993_r30,syndrome,galois_per_codeword,"naive library-call baseline, per-codeword",1500,1000,False,1023,30,1534500,,,,32,0.08315805002348498,0.0810166000155732,0.09476839995477349,0.004206721117289931,0.049758884857667184,18.452813643016352,0.01803794100001599,10,True,True,,30,10,1.7787444000132382,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,"naive library-call baseline, per-codeword galois GF(2) matmul; chunked_online=False; chunk_size=1500"
bch_1023_993_r30,syndrome,PackedBatchGF2Kernel.apply_many,fair vectorized same-task baseline,1500,1000,False,1023,30,1534500,,,,32,0.08390159998089075,0.07768190000206232,0.0872293000575155,0.002780475039826548,0.03338385328651417,18.28928173419213,0.017878085761673636,10,True,True,,30,10,1.7787444000132382,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,headline fair baseline for fixed xA; chunked_online=False; chunk_size=1500
bch_1023_993_r30,syndrome,PackedBlockLUTKernel.apply_many_packed,packed block-LUT kernel under test,1500,1000,False,1023,30,1534500,14,round32_cache_width_decision_summary:round32_cache_width_decision_summary.csv,4849664,32,0.003641950082965195,0.0032073999755084515,0.005664900061674416,0.0007339182010908991,0.18805733449704984,421.3402064947151,0.4118672595256257,10,True,True,,30,10,1.7787444000132382,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,block width selected from cache sweep; chunked_online=False; chunk_size=1500
bch_1023_993_r30,syndrome,galois_per_codeword,"naive library-call baseline, per-codeword",2000,1000,False,1023,30,2046000,,,,32,0.11153330001980066,0.10800480004400015,0.1201780999545008,0.003660272449559738,0.032583004807580085,18.34429717077116,0.017931864292053918,10,True,True,,30,10,1.7787444000132382,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,"naive library-call baseline, per-codeword galois GF(2) matmul; chunked_online=False; chunk_size=2000"
bch_1023_993_r30,syndrome,PackedBatchGF2Kernel.apply_many,fair vectorized same-task baseline,2000,1000,False,1023,30,2046000,,,,32,0.10442904994124547,0.10200509999413043,0.10793429997283965,0.001873119710264962,0.017895941609939254,19.59224948566643,0.019151759028021922,10,True,True,,30,10,1.7787444000132382,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,headline fair baseline for fixed xA; chunked_online=False; chunk_size=2000
bch_1023_993_r30,syndrome,PackedBlockLUTKernel.apply_many_packed,packed block-LUT kernel under test,2000,1000,False,1023,30,2046000,14,round32_cache_width_decision_summary:round32_cache_width_decision_summary.csv,4849664,32,0.004617900005541742,0.004222000017762184,0.005978400004096329,0.0005807451807346413,0.12005912136279433,443.05853256776544,0.43309729478764947,10,True,True,,30,10,1.7787444000132382,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,block width selected from cache sweep; chunked_online=False; chunk_size=2000
bch_1023_993_r30,syndrome,galois_per_codeword,"naive library-call baseline, per-codeword",3000,1000,False,1023,30,3069000,,,,32,0.1730604999465868,0.16621409996878356,0.21700699999928474,0.014594654607417124,0.08267535397507474,17.733682734923413,0.017334978235506754,10,True,True,,30,10,1.7787444000132382,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,"naive library-call baseline, per-codeword galois GF(2) matmul; chunked_online=False; chunk_size=3000"
