profile,task,batch_size,round_index,block_width,input_width,output_width,active_input_bytes,l1_fit_active_input,correctness_passed,stage_total_s,stage_repeats,stage_read_prepare_s,stage_read_prepare_pct,stage_index_s,stage_index_pct,stage_lookup_s,stage_lookup_pct,stage_xor_s,stage_xor_pct,stage_write_s,stage_write_pct
bch_255_239_r16,syndrome,10,0,14,255,16,318.75,True,True,5.6600081734359264e-05,5,1.1800089851021767e-05,20.84818517825299,3.3199903555214405e-05,58.656988714311865,4.100031219422817e-06,7.243860951765869,6.9999368861317635e-06,12.36736179814106,3.00002284348011e-07,0.530038606226771
bch_255_239_r16,syndrome,30,0,14,255,16,956.25,True,True,6.670004222542048e-05,5,1.39997573569417e-05,20.98912817720251,4.050019197165966e-05,60.71988955386954,4.600035026669502e-06,6.896599871890866,6.9998204708099365e-06,10.49447682079906,3.00002284348011e-07,0.4497782525146217
bch_255_239_r16,syndrome,100,0,14,255,16,3187.5,True,True,9.929994121193886e-05,5,2.1000043489038944e-05,21.148092569579592,6.13001175224781e-05,61.73227977209313,7.400056347250938e-06,7.452226312457502,8.400063961744308e-06,8.459283922249057,5.00003807246685e-07,0.5035288048957771
bch_255_239_r16,syndrome,300,0,14,255,16,9562.5,True,True,0.0001697000116109848,5,3.809994086623192e-05,22.45134841450163,0.00011260004248470068,66.35240705983075,1.0299962013959885e-05,6.069511673087688,9.00006853044033e-06,5.303516744048207,4.00003045797348e-07,0.23571185529103142
bch_255_239_r16,syndrome,500,0,14,255,16,15937.5,True,True,0.00023819995112717152,5,5.440006498247385e-05,22.837983267859883,0.00015929993242025375,66.87655965773303,1.3899989426136017e-05,5.835429167957727,1.0200077667832375e-05,4.2821493537531,3.00002284348011e-07,0.12594556922803235
bch_255_239_r16,syndrome,700,0,14,255,16,22312.5,True,True,0.0003328999737277627,5,7.419998291879892e-05,22.288972296368463,0.00021740002557635307,65.30490920198672,2.1300045773386955e-05,6.3983320679999816,1.3499869965016842e-05,4.055233112171015,4.00003045797348e-07,0.12015712747531201
bch_255_239_r16,syndrome,1000,0,14,255,16,31875.0,True,True,0.0004439001204445958,5,9.780016262084246e-05,22.032019843312728,0.0003032002132385969,68.30370150269874,2.6099849492311478e-05,5.8796671346181935,1.559988595545292e-05,3.514278378620079,5.00003807246685e-07,0.1126388086459399
bch_255_239_r16,syndrome,1500,0,14,255,16,47812.5,False,True,0.0006073002004995942,5,0.00013999955262988806,23.052775631346364,0.00040649971924722195,66.93554833553749,3.3000134862959385e-05,5.433908112628959,1.759990118443966e-05,2.898056211732046,6.00004568696022e-07,0.09879867785362652
bch_255_239_r16,syndrome,2000,0,14,255,16,63750.0,False,True,0.0007712999358773232,5,0.00018460024148225784,23.93365186427539,0.0005294999573379755,68.65033078677625,4.2400090023875237e-05,5.497224627102661,2.0400038920342922e-05,2.6448905246100773,6.00004568696022e-07,0.07779134170593967
bch_255_239_r16,syndrome,3000,0,14,255,16,95625.0,False,True,0.0012402001302689314,5,0.00025800010189414024,20.803102305608867,0.0008947002934291959,72.14160614829031,5.869974847882986e-05,4.733086785444951,2.7399975806474686e-05,2.2093188944056257,1.00000761449337e-06,0.08063276160731601
bch_255_239_r16,syndrome,5000,0,14,255,16,159375.0,False,True,0.0021032000659033656,5,0.000525000155903399,24.96196935396639,0.0014481000835075974,68.8522269937078,0.00010330043733119965,4.91158397177161,4.0899612940847874e-05,1.9446372983675564,1.300009898841381e-06,0.06181104308224721
bch_255_239_r16,syndrome,7000,0,14,255,16,223125.0,False,True,0.0038440999342128634,5,0.001406199880875647,36.58073163916295,0.0020949997706338763,54.49909748672698,0.0002207999350503087,5.7438656338033205,5.589995998889208e-05,1.4541755143090063,2.300017513334751e-06,0.05983240687538769
bch_255_239_r16,syndrome,10000,0,14,255,16,318750.0,False,True,0.010032100137323141,5,0.0017306003719568253,17.250628963703708,0.008020999957807362,79.95334823230344,0.00019129982683807611,1.9068771664904904,7.6700234785676e-05,0.7645481378352935,2.600019797682762e-06,0.025917004037965312
bch_255_239_r16,syndrome,30000,0,14,255,16,956250.0,False,True,0.03103779978118837,5,0.006368899834342301,20.519817381522042,0.024096200126223266,77.63501374484566,0.00044959981460124254,1.4485556894201614,0.00023880030494183302,0.769385415929408,5.300040356814861e-06,0.01707608269329436
bch_255_239_r16,syndrome,100000,0,14,255,16,3187500.0,False,True,0.13954740029294044,5,0.037344399956054986,26.761086109566314,0.09956780006177723,71.35052308589246,0.002370900590904057,1.6989930202404484,0.0008615002734586596,0.6173531514382802,1.3299984857439995e-05,0.009530800881650554
bch_255_239_r16,syndrome,300000,0,14,255,16,9562500.0,False,True,0.32633269985672086,5,0.08103649970144033,24.83247916528748,0.23932439973577857,73.33754779734178,0.005229900125414133,1.6026282771264924,0.002098900149576366,0.6431780052988578,4.1599967516958714e-05,0.012747716528323252
bch_255_239_r16,syndrome,1000000,0,14,255,16,31875000.0,False,True,1.0326438000192866,5,0.25868310045916587,25.050564430284137,0.7489977002842352,72.53204834718866,0.023006999981589615,2.2279705723464294,0.007072499953210354,0.6848925014683922,0.0004419999895617366,0.04280275440122542
bch_255_239_r16,syndrome,3000000,0,14,255,16,95625000.0,False,True,3.208114199573174,5,0.8336013003718108,25.984152948255954,2.273088700021617,70.85435737680541,0.07077769981697202,2.2062088633374923,0.022078400012105703,0.688204927837143,0.0014651999808847904,0.04567169027460834
bch_255_239_r16,parity,10,0,14,239,16,298.75,True,True,5.289993714541197e-05,5,1.100008375942707e-05,20.794133893183865,3.120000474154949e-05,58.979285090238484,3.899913281202316e-06,7.372245586005497,6.4999330788850784e-06,12.287222688030774,3.00002284348011e-07,0.5671127425413781
bch_255_239_r16,parity,30,0,14,239,16,896.25,True,True,5.9600104577839375e-05,5,1.2400094419717789e-05,20.80549104326306,3.709993325173855e-05,62.248100929562995,3.999914042651653e-06,6.711253396254793,6.200047209858894e-06,10.40274552163153,3.00002284348011e-07,0.5033586542724934
bch_255_239_r16,parity,100,0,14,239,16,2987.5,True,True,8.199992589652538e-05,5,1.7200014553964138e-05,20.975646460545107,5.259981844574213e-05,64.14617802474254,5.00003807246685e-06,6.097612915865719,6.900052540004253e-06,8.414705823894693,3.00002284348011e-07,0.36585677495194313
bch_255_239_r16,parity,300,0,14,239,16,8962.5,True,True,0.00015449989587068558,5,3.4400029107928276e-05,22.26540601472033,0.00010179984383285046,65.88991096670746,8.00006091594696e-06,5.178036445178519,8.400063961744308e-06,5.436938267437444,3.00002284348011e-07,0.19417636669419444
bch_255_239_r16,parity,500,0,14,239,16,14937.5,True,True,0.00023079989477992058,5,5.1100156269967556e-05,22.1404590841318,0.00015860004350543022,68.71755451044005,1.1699972674250603e-05,5.069314561606331,9.7999582067132e-06,4.246084347680469,3.00002284348011e-07,0.1299837179882939
bch_255_239_r16,parity,700,0,14,239,16,20912.5,True,True,0.00031539995688945055,5,6.520003080368042e-05,20.672174925671722,0.0002183000324293971,69.2137166353236,1.95999164134264e-05,6.214305355880654,1.2399978004395962e-05,3.9315090993313686,5.00003807246685e-07,0.15853008103673874
