profile,task,backend,baseline_role,batch_size,input_width,output_width,processed_bits,block_width,packed_word_bits,chunked_online,chunk_size,build_init_s,exactness_elapsed_s,timing_elapsed_s,elapsed_s,median_runtime_s,min_runtime_s,max_runtime_s,cv,throughput_Mbit_s,throughput_Mcodeword_s,samples_s,warmups,repeats,correctness_passed,timed,galois_available,galois_version,cpu_model,l1d_bytes,l2_bytes,l3_bytes,python_version,numpy_version,thread_count,seed,notes,round_index,probe_iterations,probe_before_ns_per_iter,probe_after_ns_per_iter,probe_ns_per_iter,throughput_norm_Mbit_s,normalization_note,normalization_reference_probe_ns_per_iter,source_file,affinity_status
bch_255_239_r16,parity,PackedBatchGF2Kernel.apply_many,fair vectorized same-task baseline,1000,239,16,239000,,16,False,1000,2.537496999953873,0.0112323000794276,0.1861854000017047,0.1978164999745786,0.0052352999337017,0.0051650999812409,0.0053146000718697,0.0108217210632275,45.65163467740594,0.1910110237548365,0.00516509998124;0.0052352999337;0.00531460007187;0.00525559997186;0.00520050001796,30,5,True,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,headline fair baseline for fixed xA,0,50000,90.42399935424328,95.37599980831146,92.89999958127736,45.65163467740593,throughput scaled by row_probe/reference_probe,92.89999958127736,round32_fig3_throughput_rounds_worker.csv,
bch_255_239_r16,parity,PackedBlockLUTKernel.apply_many_packed,packed block-LUT kernel under test,1000,239,16,239000,14.0,16,False,1000,2.537496999953873,0.0057784999953582,0.0119885000167414,0.0181465999921783,0.0003367000026628,0.0003300999524071,0.0003405000315979,0.0126453794033554,709.8307042169176,2.9700029465143,0.000336700002663;0.000330099952407;0.000331799965352;0.000340500031598;0.00033720000647,30,5,True,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,block width selected from cache sweep,0,50000,90.42399935424328,95.37599980831146,92.89999958127736,709.8307042169176,throughput scaled by row_probe/reference_probe,92.89999958127736,round32_fig3_throughput_rounds_worker.csv,
bch_255_239_r16,parity,galois_per_codeword,"naive library-call baseline, per-codeword",10000,239,16,2390000,,16,False,10000,2.537496999953873,0.6336117000319064,0.0,0.6367266000015661,0.0,0.0,0.0,0.0,0.0,0.0,,30,5,True,False,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,"naive library-call baseline, per-codeword bch.encode; skipped timing above backend max_batch_size=1000",0,50000,90.42399935424328,95.37599980831146,92.89999958127736,0.0,throughput scaled by row_probe/reference_probe,92.89999958127736,round32_fig3_throughput_rounds_worker.csv,
bch_255_239_r16,parity,PackedBatchGF2Kernel.apply_many,fair vectorized same-task baseline,10000,239,16,2390000,,16,False,10000,2.537496999953873,0.1037401999346911,1.825359300011769,1.9322666000807656,0.0524734000209718,0.0483631000388413,0.0539581000339239,0.0415233261384769,45.5468865948232,0.1905727472586744,0.0483631000388;0.0531671000645;0.052473400021;0.052120499895;0.0539581000339,30,5,True,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,headline fair baseline for fixed xA,0,50000,90.42399935424328,95.37599980831146,92.89999958127736,45.5468865948232,throughput scaled by row_probe/reference_probe,92.89999958127736,round32_fig3_throughput_rounds_worker.csv,
bch_255_239_r16,parity,PackedBlockLUTKernel.apply_many_packed,packed block-LUT kernel under test,10000,239,16,2390000,14.0,16,False,10000,2.537496999953873,0.0618555999826639,0.2678489000536501,0.3326667000073939,0.0078662999439984,0.0070563999470323,0.0085495000239461,0.079757003220814,303.8277229465977,1.2712457027054298,0.00854950002395;0.00716790009756;0.007866299944;0.00705639994703;0.00797030003741,30,5,True,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,block width selected from cache sweep,0,50000,90.42399935424328,95.37599980831146,92.89999958127736,303.8277229465977,throughput scaled by row_probe/reference_probe,92.89999958127736,round32_fig3_throughput_rounds_worker.csv,
bch_255_239_r16,parity,galois_per_codeword,"naive library-call baseline, per-codeword",100000,239,16,23900000,,16,False,100000,2.537496999953873,6.425229999935255,0.0,6.456729499972425,0.0,0.0,0.0,0.0,0.0,0.0,,30,5,True,False,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,"naive library-call baseline, per-codeword bch.encode; skipped timing above backend max_batch_size=1000",0,50000,90.42399935424328,95.37599980831146,92.89999958127736,0.0,throughput scaled by row_probe/reference_probe,92.89999958127736,round32_fig3_throughput_rounds_worker.csv,
bch_255_239_r16,parity,PackedBatchGF2Kernel.apply_many,fair vectorized same-task baseline,100000,239,16,23900000,,16,False,100000,2.537496999953873,1.0320633000228554,18.888874899945225,19.952255700016394,0.5597354000201449,0.5398770999163389,0.5802438000682741,0.0279876906294371,42.69874658479674,0.1786558434510324,0.55973540002;0.580243800068;0.573387100012;0.556317400071;0.539877099916,30,5,True,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,headline fair baseline for fixed xA,0,50000,90.42399935424328,95.37599980831146,92.89999958127736,42.69874658479674,throughput scaled by row_probe/reference_probe,92.89999958127736,round32_fig3_throughput_rounds_worker.csv,
bch_255_239_r16,parity,PackedBlockLUTKernel.apply_many_packed,packed block-LUT kernel under test,100000,239,16,23900000,14.0,16,False,100000,2.537496999953873,0.6716748001053929,3.4286371000343934,4.132234300021082,0.0960907998960465,0.0945029000286012,0.0987344000022858,0.0192565695237569,248.7230830199731,1.040682355732105,0.096090799896;0.0983591000549;0.0953602000372;0.0945029000286;0.0987344000023,30,5,True,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,block width selected from cache sweep,0,50000,90.42399935424328,95.37599980831146,92.89999958127736,248.7230830199731,throughput scaled by row_probe/reference_probe,92.89999958127736,round32_fig3_throughput_rounds_worker.csv,
bch_255_239_r16,syndrome,galois_per_codeword,"naive library-call baseline, per-codeword",1,255,16,255,,16,False,1,2.537496999953873,0.0002723999787122,0.0023094000061973,0.0026936000213027,5.8299978263676167e-05,5.64999645575881e-05,5.879998207092285e-05,0.0190741445500634,4.373929589590909,0.0171526650572192,5.84999797866e-05;5.82999782637e-05;5.87999820709e-05;5.64999645576e-05;5.66000817344e-05,30,5,True,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,"naive library-call baseline, per-codeword galois GF(2) matmul",0,50000,90.42399935424328,95.37599980831146,92.89999958127736,4.373929589590909,throughput scaled by row_probe/reference_probe,92.89999958127736,round32_fig3_throughput_rounds_worker.csv,
bch_255_239_r16,syndrome,PackedBatchGF2Kernel.apply_many,fair vectorized same-task baseline,1,255,16,255,,16,False,1,2.537496999953873,5.309993866831064e-05,0.0004145000129938,0.0005451999604701,1.1899974197149277e-05,1.1699972674250604e-05,1.1999974958598614e-05,0.0096145581431702,21.428617892388967,0.0840337956564273,1.19999749586e-05;1.19000906125e-05;1.16999726743e-05;1.18999741971e-05;1.17999734357e-05,30,5,True,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,headline fair baseline for fixed xA,0,50000,90.42399935424328,95.37599980831146,92.89999958127736,21.428617892388967,throughput scaled by row_probe/reference_probe,92.89999958127736,round32_fig3_throughput_rounds_worker.csv,
