snr_db,h,batch_blocks,max_blocks,window_blocks,total_blocks,emitted_blocks,measurement_blocks,warmup_blocks_total,discard_blocks_total,dropped_measurement_blocks,flush_blocks,total_bits,input_total_bits,pre_fec_errors,post_fec_errors,pre_fec_ber,post_fec_ber,elapsed_sec,avg_sec_per_input_block_3552bits,measurement_bits_per_sec,input_bits_per_sec,codec_init_sec,tx_gen_sec,channel_sec,decode_sec,flush_sec,batch_elapsed_sec,target_post_ber,min_post_errors,codec_mode,stop_reason,backend,block_width,external_backend_init_sec,common_table_init_sec,point_wall_sec
13.9,18,16,50000,181,69300,51200,51200,13575,4525,0,4500,209715200,283852800,2099788,38,0.010012569427490235,1.811981201171875e-07,318.52142710005865,0.004596268789322636,658402.1737856937,891157.629752902,31.700563099817373,46.142890301765874,120.00195790687576,1900.8980556010501,0.20956460002344102,2098.969689599704,1e-09,200,batched,max_blocks_reached,syndrome_lut,,0.0,2.521543800015934,318.525204100064
14.0,18,16,50000,181,69300,51200,51200,13575,4525,0,4500,209715200,283852800,1965192,0,0.009370765686035155,0.0,312.2319624000229,0.004505511722944053,671664.7404961018,909108.7210230441,30.490014799754135,46.22914889943786,119.25348500104155,1861.0102582959225,0.20279460004530847,2057.2021040939726,1e-09,200,batched,max_blocks_reached,syndrome_lut,,0.0,0.0,312.2341066999361
