snr_db,h,batch_blocks,max_blocks,window_blocks,total_blocks,emitted_blocks,measurement_blocks,warmup_blocks_total,discard_blocks_total,dropped_measurement_blocks,flush_blocks,total_bits,input_total_bits,pre_fec_errors,post_fec_errors,pre_fec_ber,post_fec_ber,elapsed_sec,avg_sec_per_input_block_3552bits,measurement_bits_per_sec,input_bits_per_sec,codec_init_sec,tx_gen_sec,channel_sec,decode_sec,flush_sec,batch_elapsed_sec,target_post_ber,min_post_errors,codec_mode,stop_reason,backend,block_width,external_backend_init_sec,common_table_init_sec,point_wall_sec
13.7,10,16,500000,101,19616,16384,16384,2424,808,0,800,67108864,80347136,761516,310970,0.011347472667694092,0.004633814096450806,46.75725540006533,0.0023836284359739666,1435260.975559875,1718388.6289418035,31.83314469992183,13.225035601179115,34.02797470288351,276.18595309823286,0.021920200088061392,355.29864240135066,1e-09,200,batched,target_errors_reached,syndrome_lut,,0.0,2.204468599986285,46.760254099965096
13.95,10,16,500000,101,78464,65536,65536,9696,3232,0,3200,268435456,321388544,2600406,225,0.009687267243862152,8.381903171539307e-07,173.217752900091,0.0022076079845545857,1549699.4476936145,1855401.87780505,30.864733999944292,51.05277979047969,131.36719709867612,1141.125629701186,0.1161823000293225,1354.544923396199,1e-09,200,batched,target_errors_reached,syndrome_lut,,0.0,0.0,173.21907130000181
14.2,10,16,500000,101,510016,425984,425984,63024,21008,0,20800,1744830464,2089025536,14266540,0,0.008176462008402897,0.0,1075.2409876000602,0.0021082495207994656,1622734.3303704083,1942844.0322598831,32.87646979978308,332.3085703892866,844.6472662019078,7300.8037406111835,0.6685029999352992,8511.421591204591,1e-09,200,batched,max_blocks_reached,syndrome_lut,,0.0,0.0,1075.2430307000177
