profile,task,measurement_mode,block_width,batch_size,input_width,output_width,lut_table_bytes,cache_level_fit,theoretical_ops,theoretical_continuous_ops,predicted_l1_w,predicted_l2_w,predicted_l3_w,backend,processed_bits,packed_word_bits,build_init_s,kernel_build_s,exactness_elapsed_s,timing_elapsed_s,elapsed_s,throughput_Mbit_s,throughput_Mcodeword_s,ns_per_bit,median_runtime_s,min_runtime_s,max_runtime_s,stdev_runtime_s,cv,samples_s,warmups,repeats,correctness_passed,timed,skip_reason,affinity_status,frequency_lock_status,cache_flush_bytes,measurement_order,cpu_model,l1d_bytes,l2_bytes,l3_bytes,python_version,numpy_version,thread_count,seed,notes
bch_255_231_r24,syndrome,natural,6,1000,255,24,8256,L1,1290,1275.0,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.08163749997038394,0.00424469995778054,0.010737800039350986,0.02811780001502484,0.0438856000546366,312.7683138647396,1.2265424073127045,3.197254823045988,0.0008152999798767269,0.0008001000387594104,0.0008421000093221664,1.862309800097091e-05,0.02276105836762101,0.00080739997793;0.000800100038759;0.000842100009322;0.000823199981824,30,4,True,True,,psutil cpu_affinity set to 8,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_231_r24,syndrome,cache_flushed_dram_proxy,6,1000,255,24,8256,L1,1290,1275.0,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.08163749997038394,0.004280900000594556,0.010479799937456846,0.824841000023298,0.8536747000180185,10.895387173997001,0.04272700852547844,91.78196093724931,0.023404400038998574,0.02316820004489273,0.024616100010462105,0.0006591233743937027,0.02787194302605615,0.0233116000891;0.0246161000105;0.0234971999889;0.0231682000449,30,4,True,True,,psutil cpu_affinity set to 8,cpupower/intel_pstate unavailable on Windows,67108864,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,cache-flushed DRAM proxy
bch_255_239_r16,syndrome,natural,7,1000,255,16,9472,L1,851,837.8571428571429,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.004777800058946,0.0021344999549910426,0.00630740006454289,0.015086699975654483,0.024064800003543496,588.0996529582877,2.30627314885603,1.7003920933633458,0.0004335999838076532,0.0004225000739097595,0.0004379999591037631,6.900848210625084e-06,0.0159769594446105,0.000431200023741;0.000435999943875;0.000437999959104;0.00042250007391,30,4,True,True,,psutil cpu_affinity set to 8,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_239_r16,syndrome,cache_flushed_dram_proxy,7,1000,255,16,9472,L1,851,837.8571428571429,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.004777800058946,0.0019904000218957663,0.006039200001396239,0.8051275999750942,0.8252169000916183,10.782195429123572,0.042283119329896354,92.74549015304622,0.023650099989026785,0.023464699974283576,0.023778999922797084,0.00015626880137180462,0.00661148108246821,0.0237789999228;0.0237574999919;0.0234646999743;0.0235426999861,30,4,True,True,,psutil cpu_affinity set to 8,cpupower/intel_pstate unavailable on Windows,67108864,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,cache-flushed DRAM proxy
bch_255_231_r24,syndrome,natural,7,1000,255,24,14208,L1,1147,1129.2857142857144,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.08163749997038394,0.0029563000425696373,0.008795400033704937,0.014891499886289239,0.027180799981579185,597.5395572616769,2.343292381418341,1.673529371984449,0.0004267499898560345,0.00042280007619410753,0.0004379999591037631,6.5900416065590375e-06,0.015376635475374077,0.000437999959104;0.000427599996328;0.000425899983384;0.000422800076194,30,4,True,True,,psutil cpu_affinity set to 8,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_231_r24,syndrome,cache_flushed_dram_proxy,7,1000,255,24,14208,L1,1147,1129.2857142857144,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.08163749997038394,0.0021004999289289117,0.008917100029066205,0.8074891000287607,0.8308688999386504,10.858110045266313,0.04258082370692672,92.09705886485823,0.023484750010538846,0.023383600055240095,0.023700400022789836,0.00015259672038921837,0.006489783802981138,0.0237004000228;0.0233942000195;0.0233836000552;0.0235753000015,30,4,True,True,,psutil cpu_affinity set to 8,cpupower/intel_pstate unavailable on Windows,67108864,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,cache-flushed DRAM proxy
bch_255_239_r16,syndrome,natural,8,1000,255,16,16384,L1,768,765.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.004777800058946,0.002062499988824129,0.00634570000693202,0.014630499994382262,0.02351770002860576,613.1281209353309,2.4044240036679643,1.630980484918052,0.0004159000236541033,0.00040579994674772024,0.00043779995758086443,1.5106154776037331e-05,0.03606578778107112,0.000405799946748;0.000407600076869;0.000424199970439;0.000437799957581,30,4,True,True,,psutil cpu_affinity set to 8,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_239_r16,syndrome,cache_flushed_dram_proxy,8,1000,255,16,16384,L1,768,765.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.004777800058946,0.0020413000602275133,0.006012899917550385,0.8013574999058619,0.8215598999522626,10.85314207524691,0.04256134147155651,92.13921582034114,0.02349550003418699,0.023290999932214618,0.023599799955263734,0.00012948393224048853,0.005516891763957573,0.023488100036;0.0235029000323;0.0232909999322;0.0235997999553,30,4,True,True,,psutil cpu_affinity set to 8,cpupower/intel_pstate unavailable on Windows,67108864,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,cache-flushed DRAM proxy
bch_255_231_r24,syndrome,natural,8,1000,255,24,24576,L1,1024,1020.0,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.08163749997038394,0.002152400091290474,0.009086200036108494,0.014195299940183759,0.02589859999716282,598.802419109664,2.348244780822212,1.6699999333450608,0.0004258499830029905,0.00041259999852627516,0.0004363999469205737,9.919113766438494e-06,0.02332948617129062,0.000436399946921;0.000412599998526;0.000428100000136;0.00042359996587,30,4,True,True,,psutil cpu_affinity set to 8,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_231_r24,syndrome,cache_flushed_dram_proxy,8,1000,255,24,24576,L1,1024,1020.0,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.08163749997038394,0.0021319000516086817,0.008733299910090864,0.796047699986957,0.8189791000913829,10.938103184737544,0.04289452229308841,91.42352957461102,0.02331300004152581,0.02320200006943196,0.023553399951197207,0.0001643827161748451,0.007041347248695436,0.0234000000637;0.0232020000694;0.0232260000193;0.0235533999512,30,4,True,True,,psutil cpu_affinity set to 8,cpupower/intel_pstate unavailable on Windows,67108864,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,cache-flushed DRAM proxy
