backend,points,total_common_table_init_sec,total_external_backend_init_sec,total_point_wall_sec,total_wall_with_common_init_sec,total_elapsed_sec,total_codec_init_sec,total_decode_sec,total_blocks,total_emitted_blocks
syndrome_lut,3,2.204468599986285,0.0,1295.2223560999846,1297.426824699971,1295.2159959002165,95.5743484996492,8718.115323410602,608096,507904
block_lut,3,2.204468599986285,0.02606900001410395,1151.3093174999813,1153.5137860999675,1151.2759040000383,96.96781559870578,7644.448631315841,608096,507904
ratio_syndrome_lut_over_block_lut,3,,,1.1249994561952337,1.124760570991157,,,1.1404505077967866,,
