matrix_source,backend,component_n,output_r,num_words,chunk_words,iterations,density,block_width,total_runtime_s,throughput_Mword_s,throughput_Mbit_s,latency_per_word_us,table_size_bytes,repeats,mean,std,correctness_passed
galois_systematic_candidate,Naive.apply_many,255,16,4096,4096,1,0.05,8,0.023157066684992362,0.17687905189885456,45.104158234207915,5.653580733640713,0,3,0.023157066684992362,0.00024907065696448493,True
galois_systematic_candidate,PackedBatch.apply_many,255,16,4096,4096,1,0.05,8,0.02251629998985057,0.1819126589113802,46.38772802240195,5.497143552209612,0,3,0.02251629998985057,0.0002561466130298238,True
galois_systematic_candidate,PackedBlockLUT.apply_many,255,16,4096,4096,1,0.05,8,0.0018733000033535063,2.1865157703878215,557.5615214488944,0.45734863363122713,16128,3,0.0018733000033535063,1.1036730583136344e-05,True
galois_systematic_candidate,PackedBlockLUT.apply_many_packed,255,16,4096,4096,1,0.05,8,0.0018635666541134317,2.197935872569377,560.4736475051913,0.45497232766441204,16128,3,0.0018635666541134317,8.057399004111462e-05,True
galois_systematic_candidate,Naive.apply_many,255,16,4096,4096,5,0.05,8,0.11723326666591068,0.17469444111255167,44.54708248370068,5.72428059892142,0,3,0.11723326666591068,0.0004975458461190615,True
galois_systematic_candidate,PackedBatch.apply_many,255,16,4096,4096,5,0.05,8,0.116864633319589,0.1752454906010227,44.68760010326079,5.706280923808057,0,3,0.116864633319589,0.0009744241957334737,True
galois_systematic_candidate,PackedBlockLUT.apply_many,255,16,4096,4096,5,0.05,8,0.009859366672268758,2.077212531064869,529.6891954215416,0.4814143882943729,16128,3,0.009859366672268758,0.001046451112168363,True
galois_systematic_candidate,PackedBlockLUT.apply_many_packed,255,16,4096,4096,5,0.05,8,0.00926696666283533,2.210000396584347,563.5501011290085,0.45248860658375634,16128,3,0.00926696666283533,0.0009900320392287416,True
galois_systematic_candidate,Naive.apply_many,255,16,4096,4096,10,0.05,8,0.2300309999845922,0.17806295674384565,45.406053969680634,5.615991210561333,0,3,0.2300309999845922,0.0032316315750348045,True
galois_systematic_candidate,PackedBatch.apply_many,255,16,4096,4096,10,0.05,8,0.23429763332630196,0.1748203744890405,44.57919549470532,5.7201570636304195,0,3,0.23429763332630196,0.0015740664173048496,True
galois_systematic_candidate,PackedBlockLUT.apply_many,255,16,4096,4096,10,0.05,8,0.019800166657660156,2.068669456585289,527.5107114292488,0.4834025062905311,16128,3,0.019800166657660156,0.00037488825973652003,True
galois_systematic_candidate,PackedBlockLUT.apply_many_packed,255,16,4096,4096,10,0.05,8,0.020075433344269793,2.040304649846643,520.2776857108939,0.49012288438158674,16128,3,0.020075433344269793,0.0003409309580023511,True
galois_systematic_candidate,Naive.apply_many,255,16,16384,4096,1,0.05,8,0.09386279998579994,0.17455264495070102,44.510924462428754,5.728930663195797,0,3,0.09386279998579994,0.0018508025832124607,True
galois_systematic_candidate,PackedBatch.apply_many,255,16,16384,4096,1,0.05,8,0.09410129999741912,0.1741102407772194,44.398111398190956,5.7434875486706005,0,3,0.09410129999741912,0.0006664291687138299,True
galois_systematic_candidate,PackedBlockLUT.apply_many,255,16,16384,4096,1,0.05,8,0.008679200002613166,1.8877315875964424,481.37155483709284,0.529736328284495,16128,3,0.008679200002613166,5.1501178962434235e-05,True
