backend,points,total_common_table_init_sec,total_external_backend_init_sec,total_point_wall_sec,total_wall_with_common_init_sec,total_elapsed_sec,total_codec_init_sec,total_decode_sec,total_blocks,total_emitted_blocks
syndrome_lut,10,16.97427350009093,0.0,4452.421527999919,4469.39580150001,4452.413186300022,0.02121229999465868,3875.640491998871,240672,239672
block_lut,10,16.830560100032017,0.13231939991237596,4335.98079149978,4352.811351599812,4335.8409000998945,0.019644999934826046,3765.669281698705,240672,239672
ratio_syndrome_lut_over_block_lut,10,,,1.026854532365182,1.0267837129806576,,,1.0292036294410212,,
