profile,task,measurement_mode,block_width,batch_size,input_width,output_width,lut_table_bytes,cache_level_fit,theoretical_ops,theoretical_continuous_ops,predicted_l1_w,predicted_l2_w,predicted_l3_w,backend,processed_bits,packed_word_bits,build_init_s,kernel_build_s,exactness_elapsed_s,timing_elapsed_s,elapsed_s,throughput_Mbit_s,throughput_Mcodeword_s,ns_per_bit,median_runtime_s,min_runtime_s,max_runtime_s,stdev_runtime_s,cv,samples_s,warmups,repeats,correctness_passed,timed,skip_reason,affinity_status,frequency_lock_status,cache_flush_bytes,measurement_order,cpu_model,l1d_bytes,l2_bytes,l3_bytes,python_version,numpy_version,thread_count,seed,notes
bch_1023_993_r30,syndrome,natural,8,1000,1023,30,131072,L2,4864,4859.25,5,11,16,PackedBlockLUTKernel.apply_many_packed,1023000,32,3.293710199999623,0.02666269999463111,0.07233019999694079,0.1656116999220103,0.2674764000112191,283.0110434530897,0.2766481363177808,3.5334310202130124,0.0036146999336779118,0.0022980000358074903,0.004302999936044216,0.0004483943835804841,0.12486198798749815,0.00409049994778;0.00356079998892;0.00352469994687;0.00362120009959;0.00333480001427;0.00364490004722;0.00359600002412;0.00361469993368;0.0036113000242;0.00367050000932;0.00325259997044;0.00229800003581;0.00430299993604;0.00399860006291;0.00374520011246,30,15,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_239_r16,syndrome,natural,9,1000,255,16,29696,L1,725,708.3333333333333,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.0387544999830425,0.0042221000185236335,0.010955699952319264,0.03201109997462481,0.048104300047270954,475.3914901269435,1.8642803534389942,2.1035294505018816,0.0005364000098779798,0.0005140999564900994,0.0015319999074563384,0.0002571987809272034,0.423121743413553,0.000530899967998;0.000544600072317;0.000540199922398;0.000530300079845;0.000532299978659;0.00153199990746;0.000635800068267;0.000533999991603;0.00051549996715;0.00051409995649;0.000536400009878;0.000556500046514;0.000544599955902;0.000539600034244;0.000531099969521,30,15,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_231_r24,syndrome,natural,9,1000,255,24,44544,L2,957,935.0,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.09283939993474633,0.0027707000263035297,0.011908299988135695,0.024099600035697222,0.03934959997422993,482.4064016011843,1.891789810200723,2.072940982293849,0.0005285999504849315,0.0004899000050500035,0.0005802999949082732,1.9647519027962973e-05,0.03722343016905645,0.000510499929078;0.000517199980095;0.000521200010553;0.00048990000505;0.00054000003729;0.000533499987796;0.000534899998456;0.000520100002177;0.000511600053869;0.000528599950485;0.000533299986273;0.000580299994908;0.000523400027305;0.000535200000741;0.000537700019777,30,15,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_511_484_r27,syndrome,natural,9,1000,511,27,116736,L2,2052,2044.0,6,12,17,PackedBlockLUTKernel.apply_many_packed,511000,32,1.5402650999603793,0.005736400024034083,0.030565200024284422,0.09228809992782772,0.1296897999709472,269.2733453320196,0.5269537090646175,3.7136984307413696,0.00189769989810884,0.0016434000572189689,0.006734099937602878,0.0013571902260233948,0.5308464057240181,0.00171939993743;0.00181070005056;0.00179879995994;0.0019759000279;0.00363339995965;0.00189219997264;0.00187739997637;0.00164340005722;0.0067340999376;0.00213779998012;0.00370510003995;0.00188709993381;0.00220310001168;0.00343370006885;0.00189769989811,30,15,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_1023_993_r30,syndrome,natural,9,1000,1023,30,233472,L2,4446,4433.0,5,11,16,PackedBlockLUTKernel.apply_many_packed,1023000,32,3.293710199999623,0.021816099993884563,0.07106799993198365,0.13285079994238913,0.22814180003479123,419.22793996476724,0.40980248285901,2.385337198861417,0.0024401999544352293,0.0021019000560045242,0.004875299986451864,0.0008903077685689394,0.2997265587642824,0.00214110000525;0.00222489994485;0.002101900056;0.00241659989115;0.00320140004624;0.00371760001872;0.0037161000073;0.00487529998645;0.00377909990493;0.00372430006973;0.00371550000273;0.00244019995444;0.00212429999374;0.00219210004434;0.00218559999485,30,15,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_239_r16,syndrome,natural,10,1000,255,16,53248,L2,676,663.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.0387544999830425,0.00266400002874434,0.008509999956004322,0.037190199946053326,0.04898810002487153,286.8714463737717,1.1249860642108693,3.4858819608594858,0.0008888999000191689,0.0008417000062763691,0.0009332000045105815,2.4299115391521597e-05,0.027599458707049582,0.000888899900019;0.000884400098585;0.000888900016434;0.000845900038257;0.00089789996855;0.000889600021765;0.000841700006276;0.000890100025572;0.000878299935721;0.000851399963722;0.000866800080985;0.000898799975403;0.000933200004511;0.000856200000271;0.000894199940376,30,15,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_231_r24,syndrome,natural,10,1000,255,24,79872,L2,884,867.0,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.09283939993474633,0.0028010999085381627,0.011753100086934865,0.03306480008177459,0.04861580010037869,299.3660600477852,1.173984549207001,3.340392026538942,0.0008517999667674303,0.0008301000343635678,0.0009175000013783574,2.5957539933350507e-05,0.030215040619931768,0.000880899955519;0.000852600089274;0.00083369994536;0.000840799999423;0.000834399950691;0.000883000087924;0.000873799901456;0.000873200013302;0.000917500001378;0.000838999985717;0.000838399981149;0.000830100034364;0.000846000039019;0.000851799966767;0.000891200033948,30,15,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_511_484_r27,syndrome,natural,10,1000,511,27,212992,L2,1924,1890.7,6,12,17,PackedBlockLUTKernel.apply_many_packed,511000,32,1.5402650999603793,0.009822500054724514,0.03040219994727522,0.06036939995829016,0.10205410001799464,481.71194805734115,0.9426848298578104,2.075929409749587,0.001060799928382039,0.0008272000122815371,0.0013538000639528036,0.00013702037214870499,0.13248240734209332,0.00135380006395;0.000872599892318;0.000827200012282;0.000998900039122;0.00107640004717;0.00105449999683;0.00105580000672;0.00110120000318;0.00111270009074;0.00110519991722;0.000862400047481;0.000847400049679;0.00106079992838;0.00110330001917;0.00108159997035,30,15,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_1023_993_r30,syndrome,natural,10,1000,1023,30,421888,L2,4120,4092.0,5,11,16,PackedBlockLUTKernel.apply_many_packed,1023000,32,3.293710199999623,0.011066199978813529,0.06558990001212806,0.13312360004056245,0.21148279996123165,483.0940552660505,0.4722327030948685,2.0699902826361174,0.0021176000591367483,0.0018657000036910176,0.002294900012202561,9.029077209339413e-05,0.043067247795661345,0.00217450002674;0.0022949000122;0.00213060004171;0.00206659990363;0.00212339998689;0.00207120005507;0.00186570000369;0.00201639998704;0.00213799998164;0.00211760005914;0.00208229990676;0.00206480000634;0.00206259998959;0.00212020007893;0.00211879995186,30,15,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_239_r16,syndrome,natural,11,1000,255,16,98304,L2,648,625.909090909091,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.0387544999830425,0.0028337000403553247,0.008135900017805398,0.024442399968393147,0.03599130001384765,478.3342849268905,1.875820725203492,2.0905881754907907,0.0005330999847501516,0.000519599998369813,0.0006606000242754817,3.4077256046540076e-05,0.06271348961620574,0.000545200076886;0.000540899927728;0.000547399977222;0.00051959999837;0.000521800015122;0.000534599996172;0.000528300064616;0.000527499942109;0.000527100055479;0.000544399954379;0.000531299971044;0.00053309998475;0.000660600024275;0.00055830006022;0.000530599965714,30,15,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
