preset,code_profile,n,r,cache_profile,workload_type,batch_size,density_or_weight,output_mode,selected_backend,selected_block_width,selection_reason,lut_bytes,fits_l1,fits_l2,fits_l3,oracle_best_backend,oracle_best_block_width,selected_latency_us,oracle_best_latency_us,planner_over_oracle,correctness_passed
lightweight,bch_255_239_r16,255,16,small_l2_profile,dense_batch,1024,density=0.5,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=1024 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,10,5488.800001330674,510.6999888084829,10.74760156963509,True
lightweight,bch_255_239_r16,255,16,small_l2_profile,dense_batch,4096,density=0.5,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=4096 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,8,23472.599976230413,1961.899979505688,11.96421847261779,True
lightweight,bch_255_239_r16,255,16,small_l2_profile,candidate_test_packed,1,density=0.05,packed,PackedBatchGF2Kernel,0,candidate batch LUT does not fit cache target or batch is small; use vectorized fallback,0,True,True,True,PackedBatchGF2Kernel,0,13.599987141788006,13.599987141788006,1.0,True
lightweight,bch_255_239_r16,255,16,small_l2_profile,candidate_test_packed,64,density=0.05,packed,PackedBlockLUTKernel,10,large packed candidate batch uses LUT selected by cache footprint,51264,False,True,True,PackedBlockLUTKernel,10,69.69994865357876,69.69994865357876,1.0,True
lightweight,bch_255_239_r16,255,16,small_l2_profile,candidate_test_packed,1024,density=0.05,packed,PackedBlockLUTKernel,10,large packed candidate batch uses LUT selected by cache footprint,51264,False,True,True,PackedBlockLUTKernel,10,411.19998786598444,411.19998786598444,1.0,True
lightweight,bch_255_239_r16,255,16,small_l2_profile,candidate_test_packed,4096,density=0.05,packed,PackedBlockLUTKernel,10,large packed candidate batch uses LUT selected by cache footprint,51264,False,True,True,PackedBlockLUTKernel,10,2075.500029604882,2075.500029604882,1.0,True
lightweight,bch_255_239_r16,255,16,small_l2_profile,component_decode_batch,1,density=0.02,unpacked,PackedBlockLUTKernel,10,small/dense batch uses packed LUT because selected table fits L2,51264,False,True,True,NaiveGF2Kernel,0,75.4999928176403,36.299985367804766,2.079890447686044,True
lightweight,bch_255_239_r16,255,16,small_l2_profile,component_decode_batch,64,density=0.02,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=64 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,6,516.1000299267471,252.70000332966447,2.04234279036973,True
lightweight,bch_255_239_r16,255,16,small_l2_profile,component_decode_batch,1024,density=0.02,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=1024 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,10,7849.5999914593995,2776.100009214133,2.827563836103112,True
lightweight,bch_255_239_r16,255,16,small_l2_profile,component_decode_batch,4096,density=0.02,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=4096 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,10,35558.89998096973,10927.100025583059,3.254193692536675,True
lightweight,bch_255_239_r16,255,16,small_l2_profile,event_update,1,flip_count=2,unpacked,EventUpdateKernel,0,event update workload uses incremental syndrome updates,0,True,True,True,EventUpdateKernel,0,10.399962775409222,10.399962775409222,1.0,True
lightweight,bch_255_239_r16,255,16,small_l2_profile,event_update,64,flip_count=2,unpacked,EventUpdateKernel,0,event update workload uses incremental syndrome updates,0,True,True,True,EventUpdateKernel,0,16.50000922381878,16.50000922381878,1.0,True
lightweight,bch_255_239_r16,255,16,small_l2_profile,event_update,1024,flip_count=2,unpacked,EventUpdateKernel,0,event update workload uses incremental syndrome updates,0,True,True,True,EventUpdateKernel,0,79.90002632141113,79.90002632141113,1.0,True
lightweight,bch_255_239_r16,255,16,small_l2_profile,event_update,4096,flip_count=2,unpacked,EventUpdateKernel,0,event update workload uses incremental syndrome updates,0,True,True,True,EventUpdateKernel,0,251.49999419227242,251.49999419227242,1.0,True
lightweight,bch_255_239_r16,255,16,large_l3_profile,sparse_single,1,weight=2,unpacked,SparseXorKernel,0,sparse single input hamming_weight=2 <= 8,0,True,True,True,SparseXorKernel,0,7.299997378140688,7.299997378140688,1.0,True
lightweight,bch_255_239_r16,255,16,large_l3_profile,dense_batch,1,density=0.5,unpacked,PackedBlockLUTKernel,10,small/dense batch uses packed LUT because selected table fits L2,51264,False,True,True,PackedBatchGF2Kernel,0,56.59996531903744,10.599964298307896,5.339637354068509,True
lightweight,bch_255_239_r16,255,16,large_l3_profile,dense_batch,64,density=0.5,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=64 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,10,384.2999576590955,74.09998215734959,5.186235495212988,True
lightweight,bch_255_239_r16,255,16,large_l3_profile,dense_batch,1024,density=0.5,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=1024 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,10,6231.000006664544,470.90003499761224,13.232107758701142,True
lightweight,bch_255_239_r16,255,16,large_l3_profile,dense_batch,4096,density=0.5,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=4096 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,10,22990.699973888695,2042.3000096343458,11.257258906836592,True
