backend,points,total_common_table_init_sec,total_external_backend_init_sec,total_point_wall_sec,total_wall_with_common_init_sec,total_elapsed_sec,total_codec_init_sec,total_decode_sec,total_blocks,total_emitted_blocks
syndrome_lut,6,2.346764800022356,0.0,4792.179022299941,4794.525787099963,4792.16976690013,133.443055699463,25657.941754299216,1298304,1081920
block_lut,6,2.346764800022356,0.03509509994182736,4306.861681899987,4309.2084467000095,4306.813213200076,137.5119860006962,22908.985599386273,1298304,1081920
ratio_syndrome_lut_over_block_lut,6,,,1.1126846823150944,1.112623315024737,,,1.1199946694709428,,
