profile,task,backend,baseline_role,batch_size,input_width,output_width,processed_bits,block_width,packed_word_bits,chunked_online,chunk_size,build_init_s,exactness_elapsed_s,timing_elapsed_s,elapsed_s,median_runtime_s,min_runtime_s,max_runtime_s,cv,throughput_Mbit_s,throughput_Mcodeword_s,samples_s,warmups,repeats,correctness_passed,timed,galois_available,galois_version,cpu_model,l1d_bytes,l2_bytes,l3_bytes,python_version,numpy_version,thread_count,seed,notes,round_index,probe_iterations,probe_before_ns_per_iter,probe_after_ns_per_iter,probe_ns_per_iter,throughput_norm_Mbit_s,normalization_note,affinity_status,normalization_reference_probe_ns_per_iter
bch_255_239_r16,parity,PackedBatchGF2Kernel.apply_many,fair vectorized same-task baseline,1000,239,16,239000,,16,False,1000,3.231951200054027,0.013342499965801835,0.1912908999947831,0.20519669994246215,0.005599650030490011,0.005389699945226312,0.006171799963340163,0.06610434764468416,42.681238773610595,0.178582589010923,0.00580679997802;0.00617179996334;0.00539250008296;0.00538969994523,30,4,True,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,headline fair baseline for fixed xA,0,50000,114.59800181910396,139.39199969172478,126.99500075541437,32.69773746805451,throughput scaled by row_probe/reference_probe,psutil cpu_affinity set to 6,165.77000031247735
bch_255_239_r16,parity,PackedBlockLUTKernel.apply_many_packed,packed block-LUT kernel under test,1000,239,16,239000,14,16,False,1000,3.231951200054027,0.0056702999863773584,0.014495800016447902,0.020573199959471822,0.00042910000775009394,0.0004032999277114868,0.0004654000513255596,0.06920211854560705,556.9797149460612,2.3304590583517206,0.00041009997949;0.000403299927711;0.000465400051326;0.00044810003601,30,4,True,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,block width selected from cache sweep,0,50000,114.59800181910396,139.39199969172478,126.99500075541437,426.69746749708776,throughput scaled by row_probe/reference_probe,psutil cpu_affinity set to 6,165.77000031247735
bch_255_239_r16,parity,galois_per_codeword,"naive library-call baseline, per-codeword",10000,239,16,2390000,,16,False,10000,3.231951200054027,0.8052496999735013,0.0,0.8086031000129879,0.0,0.0,0.0,0.0,0.0,0.0,,30,4,True,False,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,"naive library-call baseline, per-codeword bch.encode; skipped timing above backend max_batch_size=100",0,50000,114.59800181910396,139.39199969172478,126.99500075541437,0.0,throughput scaled by row_probe/reference_probe,psutil cpu_affinity set to 6,165.77000031247735
bch_255_239_r16,parity,PackedBatchGF2Kernel.apply_many,fair vectorized same-task baseline,10000,239,16,2390000,,16,False,10000,3.231951200054027,0.13269780005794019,2.1611496000550687,2.2985212999628857,0.05428094998933375,0.05289920000359416,0.06257900001946837,0.07936136779058708,44.030180025766626,0.1842266946684796,0.0528992000036;0.0537977999775;0.0547641000012;0.0625790000195,30,4,True,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,headline fair baseline for fixed xA,0,50000,114.59800181910396,139.39199969172478,126.99500075541437,33.73114999754505,throughput scaled by row_probe/reference_probe,psutil cpu_affinity set to 6,165.77000031247735
bch_255_239_r16,parity,PackedBlockLUTKernel.apply_many_packed,packed block-LUT kernel under test,10000,239,16,2390000,14,16,False,10000,3.231951200054027,0.061503399978391826,0.350385700003244,0.41536559991072863,0.01126384997041896,0.01110470003914088,0.011354799964465201,0.00931784966667612,212.1832238778571,0.8877959158069334,0.0112478999654;0.0113547999645;0.0111047000391;0.0112797999755,30,4,True,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,block width selected from cache sweep,0,50000,114.59800181910396,139.39199969172478,126.99500075541437,162.5517803333593,throughput scaled by row_probe/reference_probe,psutil cpu_affinity set to 6,165.77000031247735
bch_255_239_r16,parity,galois_per_codeword,"naive library-call baseline, per-codeword",100000,239,16,23900000,,16,False,100000,3.231951200054027,9.194448600057513,0.0,9.2396128999535,0.0,0.0,0.0,0.0,0.0,0.0,,30,4,True,False,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,"naive library-call baseline, per-codeword bch.encode; skipped timing above backend max_batch_size=100",0,50000,114.59800181910396,139.39199969172478,126.99500075541437,0.0,throughput scaled by row_probe/reference_probe,psutil cpu_affinity set to 6,165.77000031247735
bch_255_239_r16,parity,PackedBatchGF2Kernel.apply_many,fair vectorized same-task baseline,100000,239,16,23900000,,16,False,100000,3.231951200054027,1.2855218999320641,21.512879799935035,22.843585600028746,0.6760427000117488,0.6414833000162616,0.6785227000946179,0.026551731675132497,35.35279650173672,0.14791965063488166,0.676586000016;0.641483300016;0.675499400008;0.678522700095,30,4,True,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,headline fair baseline for fixed xA,0,50000,114.59800181910396,139.39199969172478,126.99500075541437,27.08347958002709,throughput scaled by row_probe/reference_probe,psutil cpu_affinity set to 6,165.77000031247735
bch_255_239_r16,parity,PackedBlockLUTKernel.apply_many_packed,packed block-LUT kernel under test,100000,239,16,23900000,14,16,False,100000,3.231951200054027,0.7964380999328569,3.6649788999930024,4.51209169998765,0.11898739996831864,0.1184144999133423,0.12037770007736981,0.0070393030175858575,200.86160388716428,0.8404251208667961,0.118893099949;0.119081699988;0.120377700077;0.118414499913,30,4,True,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,block width selected from cache sweep,0,50000,114.59800181910396,139.39199969172478,126.99500075541437,153.8783826343769,throughput scaled by row_probe/reference_probe,psutil cpu_affinity set to 6,165.77000031247735
bch_255_239_r16,syndrome,galois_per_codeword,"naive library-call baseline, per-codeword",1,255,16,255,,16,False,1,3.231951200054027,0.00029420002829283476,0.0031929999822750688,0.0036039999686181545,9.540002793073654e-05,9.310001041740179e-05,0.00010289996862411499,0.046462644361370695,2.672955192268268,0.010482177224581442,0.000102899968624;9.71000408754e-05;9.37000149861e-05;9.31000104174e-05,30,4,True,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,"naive library-call baseline, per-codeword galois GF(2) matmul",0,50000,114.59800181910396,139.39199969172478,126.99500075541437,2.047728455217643,throughput scaled by row_probe/reference_probe,psutil cpu_affinity set to 6,165.77000031247735
bch_255_239_r16,syndrome,PackedBatchGF2Kernel.apply_many,fair vectorized same-task baseline,1,255,16,255,,16,False,1,3.231951200054027,6.360001862049103e-05,0.0006006999174132943,0.0007513000164180994,1.7549959011375904e-05,1.71000137925148e-05,1.8000020645558834e-05,0.021065120711222785,14.529948465105173,0.05698019005923597,1.76000175998e-05;1.80000206456e-05;1.7499900423e-05;1.71000137925e-05,30,4,True,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,headline fair baseline for fixed xA,0,50000,114.59800181910396,139.39199969172478,126.99500075541437,11.13127111554499,throughput scaled by row_probe/reference_probe,psutil cpu_affinity set to 6,165.77000031247735
