snr_db,h,batch_blocks,max_blocks,window_blocks,total_blocks,emitted_blocks,measurement_blocks,flush_blocks,total_bits,input_total_bits,pre_fec_errors,post_fec_errors,pre_fec_ber,post_fec_ber,elapsed_sec,avg_sec_per_input_block_3552bits,measurement_bits_per_sec,input_bits_per_sec,codec_init_sec,tx_gen_sec,channel_sec,decode_sec,flush_sec,batch_elapsed_sec,target_post_ber,min_post_errors,codec_mode,stop_reason,backend,block_width,external_backend_init_sec,common_table_init_sec,point_wall_sec
13.7,10,16,60000,101,112,12,12,100,49152,458752,543,455,0.01104736328125,0.009256998697916666,0.44633170001907274,0.003985104464456006,110124.3761039147,1027827.510303204,0.001430200005415827,0.06486059998860583,0.2085054999915883,0.16904599987901747,0.0022529999841935933,0.4424433000385761,1e-09,100,batched,target_errors_reached,block_lut,14,0.012144499982241541,4.137396799982525,0.45900529995560646
13.95,10,16,60000,101,112,12,12,100,49152,458752,466,334,0.009480794270833334,0.006795247395833333,0.5104471999802627,0.004557564285538059,96292.03569321283,898725.6664699864,0.002434500027447939,0.08080549992155284,0.2044120000791736,0.21809190011117607,0.004399200028274208,0.5033389999298379,1e-09,100,batched,target_errors_reached,block_lut,14,0.018149400013498962,4.173961799999233,0.5292761999880895
14.2,10,16,60000,101,112,12,12,100,49152,458752,436,322,0.008870442708333334,0.006551106770833333,0.5429962999769486,0.0048481812497941845,90519.95382304926,844852.9023484598,0.0025643999688327312,0.08978740003658459,0.20561650005402043,0.2390177000197582,0.0057073000352829695,0.5344545000116341,1e-09,100,batched,target_errors_reached,block_lut,14,0.01851269998587668,4.332504099991638,0.5623779000015929
14.45,10,16,60000,101,112,12,12,100,49152,458752,326,177,0.006632486979166667,0.00360107421875,0.5053232999634929,0.004511815178245472,97268.42202516881,907838.6055682423,0.0018844000296667218,0.07752799987792969,0.20122549997176975,0.2205676000448875,0.0038240000139921904,0.49935359990922734,1e-09,100,batched,target_errors_reached,block_lut,14,0.007355500012636185,4.1866859999718145,0.5133888000273146
14.7,10,16,60000,101,112,12,12,100,49152,458752,275,137,0.005594889322916667,0.0027872721354166665,0.5181838999851607,0.004626641964153221,94854.35576328708,885307.320457346,0.0016151999589055777,0.09776069998042658,0.2199605000205338,0.1945797000080347,0.0040357999969273806,0.5123364999890327,1e-09,100,batched,target_errors_reached,block_lut,14,0.012492600013501942,1.500011421740055e-06,0.5316121999640018
14.95,10,16,60000,101,112,12,12,100,49152,458752,253,116,0.005147298177083333,0.0023600260416666665,0.5246201999834739,0.0046841089284238736,93690.63562849532,874445.9325326231,0.0013966999831609428,0.07038500002818182,0.21028299996396527,0.23735519999172539,0.004980200028512627,0.5180534000392072,1e-09,100,batched,target_errors_reached,block_lut,14,0.009710699960123748,1.9000144675374031e-06,0.5352674999739975
15.2,10,16,60000,101,60000,59900,59900,100,245350400,245760000,926537,61,0.003776382675553005,2.486240087646077e-07,1084.9692462999956,0.01808282077166659,226135.81061094912,226513.33283233634,0.002004500012844801,38.16310640028678,103.24104509846075,943.4735341005726,0.003955099964514375,1084.8900641998043,1e-09,100,batched,max_blocks_reached,block_lut,14,0.015303199994377792,1.9000144675374031e-06,1084.9854552999604
15.45,10,16,60000,101,60000,59900,59900,100,245350400,245760000,744326,34,0.0030337264581594323,1.38577316360601e-07,1080.0751979000052,0.01800125329833342,227160.47963793247,227539.71249208594,0.0020723000052385032,37.98428389831679,103.6547898001736,938.3453358984552,0.0019275000086054206,1079.997259300144,1e-09,100,batched,max_blocks_reached,block_lut,14,0.010816399997565895,1.9000144675374031e-06,1080.0867550999974
15.7,10,16,60000,101,60000,59900,59900,100,245350400,245760000,590824,30,0.002408082481218698,1.2227410267111852e-07,1083.3627200999763,0.018056045334999604,226471.14899556286,226849.2310473084,0.0018930999794974923,38.11265499825822,104.78787129907869,940.3676040992723,0.004340300045441836,1083.2811513003544,1e-09,100,batched,max_blocks_reached,block_lut,14,0.007360799994785339,1.700012944638729e-06,1083.3708333999966
15.95,10,16,60000,101,60000,59900,59900,100,245350400,245760000,462195,26,0.0018838159628025877,1.0597088898163606e-07,1084.385833200009,0.01807309722000015,226257.47449685325,226635.19982990308,0.0023496999638155103,38.370123799773864,103.71672450052574,942.2041495003505,0.002056199999060482,1084.3047099012183,1e-09,100,batched,max_blocks_reached,block_lut,14,0.020473599957767874,2.500019036233425e-06,1084.406819799915
