profile,task,mode,backend,round_index,batch_size,input_width,output_width,processed_bits,block_width,lut_table_bytes,stream_chunk_size,stream_chunk_plan,active_input_bytes,l1_fit_active_input,warmups,repeats,timed,correctness_passed,skip_reason,median_runtime_s,min_runtime_s,max_runtime_s,stdev_runtime_s,cv,throughput_Mbit_s,throughput_Mcodeword_s,ns_per_bit,samples_s,elapsed_s,affinity_status,seed
bch_255_239_r16,syndrome,bulk,PackedBatchGF2Kernel.apply_many,4,10,255,16,2550,,,,,318.75,True,10,15,True,True,,6.54000323265791e-05,6.43999082967639e-05,7.809989620000124e-05,3.3087224408037316e-06,0.0505920612436615,38.990806415299886,0.15290512319725447,25.64707150061925,6.64000399411e-05;7.80998962e-05;6.54000323266e-05;6.60000368953e-05;6.49000285193e-05;6.53999159113e-05;6.62000384182e-05;6.50000292808e-05;6.43999082968e-05;6.51000300422e-05;6.51000300422e-05;6.65000407025e-05;6.55999174342e-05;6.53000315651e-05;6.5500033088e-05,0.0020296999718993902,psutil cpu_affinity set to 4,42
bch_255_239_r16,syndrome,bulk,PackedBlockLUTKernel.apply_many_packed,4,10,255,16,2550,14,622592,,,318.75,True,10,15,True,True,,4.870002157986164e-05,4.8200017772614956e-05,4.91999089717865e-05,2.7635750370126833e-07,0.005674689553229013,52.36137310161834,0.20533871804556214,19.098047678377114,4.91000246257e-05;4.91999089718e-05;4.89000231028e-05;4.87000215799e-05;4.86000208184e-05;4.91000246257e-05;4.88999066874e-05;4.87000215799e-05;4.88000223413e-05;4.82000177726e-05;4.84000192955e-05;4.8500020057e-05;4.85999044031e-05;4.86000208184e-05;4.86000208184e-05,0.004418500000610948,psutil cpu_affinity set to 4,42
bch_255_239_r16,syndrome,stream_chunked,PackedBatchGF2Kernel.apply_many,4,10,255,16,2550,,,1000,10,318.75,True,10,15,True,True,,7.559999357908964e-05,7.450010161846876e-05,8.099991828203201e-05,1.5622385209311211e-06,0.02066453245524116,33.73016159495164,0.13227514350961428,29.64705630552535,7.79000110924e-05;7.54999928176e-05;7.59999966249e-05;7.52999912947e-05;7.54999928176e-05;7.55999935791e-05;7.56999943405e-05;7.56999943405e-05;7.51999905333e-05;7.45001016185e-05;7.53999920562e-05;7.50999897718e-05;8.0999918282e-05;7.56001099944e-05;7.58999958634e-05,0.0022423999616876245,psutil cpu_affinity set to 4,42
bch_255_239_r16,syndrome,stream_chunked,PackedBlockLUTKernel.apply_many_packed,4,10,255,16,2550,14,622592,1000,10,318.75,True,10,15,True,True,,4.8999907448887825e-05,3.860006108880043e-05,0.00014210003428161144,2.733455608610499e-05,0.5578491370543479,52.04091462131687,0.20408201812281127,19.21564997995601,4.90000238642e-05;4.89999074489e-05;4.91000246257e-05;4.88000223413e-05;4.09999629483e-05;0.000142100034282;6.85000559315e-05;7.75998923928e-05;8.43000598252e-05;5.47999516129e-05;4.26000915468e-05;3.92999500036e-05;4.21999720857e-05;3.88999469578e-05;3.86000610888e-05,0.004357800004072487,psutil cpu_affinity set to 4,42
bch_255_239_r16,syndrome,bulk,PackedBatchGF2Kernel.apply_many,4,30,255,16,7650,,,,,956.25,True,10,15,True,True,,0.00017090002074837685,0.00016950001008808613,0.00018820003606379032,5.1361806354671855e-06,0.030053715692810807,44.763013875015325,0.17554123088241305,22.339871993251876,0.000170900020748;0.000169500010088;0.00016960001085;0.000179499969818;0.000188200036064;0.000176399946213;0.000169900013134;0.000173400039785;0.00017069990281;0.000176700064912;0.000171100022271;0.000171499908902;0.000170800019987;0.00017030001618;0.000169800012372,0.00602549989707768,psutil cpu_affinity set to 4,42
bch_255_239_r16,syndrome,bulk,PackedBlockLUTKernel.apply_many_packed,4,30,255,16,7650,14,622592,,,956.25,True,10,15,True,True,,5.9999991208314896e-05,5.9399986639618874e-05,6.960006430745125e-05,2.514036985845575e-06,0.04190062257037757,127.50001868233359,0.5000000732640533,7.843136105662078,6.09999988228e-05;6.08999980614e-05;5.99999912083e-05;6.96000643075e-05;6.01999927312e-05;6.04999950156e-05;5.98999904469e-05;5.99999912083e-05;6.01999927312e-05;5.93999866396e-05;5.94999874011e-05;5.97999896854e-05;6.00999919698e-05;5.9699988924e-05;5.93999866396e-05,0.004649000009521842,psutil cpu_affinity set to 4,42
bch_255_239_r16,syndrome,stream_chunked,PackedBatchGF2Kernel.apply_many,4,30,255,16,7650,,,1000,30,956.25,True,10,15,True,True,,0.00021269998978823423,0.00016900000628083944,0.0004284000024199486,6.195881256160657e-05,0.2912967350082774,35.96615123308844,0.14104373032583703,27.80392023375611,0.000211399979889;0.000212699989788;0.000215100008063;0.000215300009586;0.000212399987504;0.000211499980651;0.00042840000242;0.000276300008409;0.000222700065933;0.000228699995205;0.000215000007302;0.000205500051379;0.000169800012372;0.000169000006281;0.000178199959919,0.006173599977046251,psutil cpu_affinity set to 4,42
bch_255_239_r16,syndrome,stream_chunked,PackedBlockLUTKernel.apply_many_packed,4,30,255,16,7650,14,622592,1000,30,956.25,True,10,15,True,True,,4.579999949783087e-05,4.309997893869877e-05,5.64999645575881e-05,3.493758575119365e-06,0.07628293915777952,167.0305695169781,0.6550218412430513,5.98692803893214,4.66000055894e-05;5.64999645576e-05;4.71000093967e-05;4.64000040665e-05;4.61000017822e-05;4.57999994978e-05;4.70000086352e-05;4.8500020057e-05;4.31999797001e-05;4.34999819845e-05;4.30999789387e-05;4.34000976384e-05;4.30999789387e-05;4.32999804616e-05;4.32999804616e-05,0.005020100041292608,psutil cpu_affinity set to 4,42
bch_255_239_r16,syndrome,bulk,PackedBatchGF2Kernel.apply_many,4,100,255,16,25500,,,,,3187.5,True,10,15,True,True,,0.0007008000975474715,0.0005665000062435865,0.0018206000095233321,0.00030264551853309085,0.4318571295755134,36.38698123650397,0.14269404406472147,27.48235676656751,0.000692800036632;0.000585300032981;0.000602599931881;0.000570800038986;0.000566500006244;0.00182060000952;0.000720300013199;0.000703899888322;0.000738400034606;0.000696000060998;0.00070410000626;0.000704600010067;0.000700800097547;0.00070449989289;0.000689400010742,0.019766399986110628,psutil cpu_affinity set to 4,42
bch_255_239_r16,syndrome,bulk,PackedBlockLUTKernel.apply_many_packed,4,100,255,16,25500,14,622592,,,3187.5,True,10,15,True,True,,6.970006506890059e-05,6.700004450976849e-05,9.3999900855124e-05,6.583984816926084e-06,0.0944616738939572,365.85331699177743,1.434718890163833,2.7333358850549248,6.72000460327e-05;6.7799934186e-05;6.71000452712e-05;6.70000445098e-05;6.89999433234e-05;7.43999844417e-05;7.07000726834e-05;9.39999008551e-05;7.18000810593e-05;7.1799964644e-05;6.94999471307e-05;6.97000650689e-05;7.07999570295e-05;6.92000612617e-05;7.20999669284e-05,0.00628199998755008,psutil cpu_affinity set to 4,42
