preset,code_profile,matrix_kind,verification_status,matrix_source,matrix_shape,component_n,output_r,total_bits,num_words,chunk_words,iterations,density,block_width,packed_word_bits,lut_bytes,stream_input_bits,stream_input_bytes,lut_over_l1,lut_over_l2,lut_over_l3,num_blocks,entries_per_block,fits_l1,fits_l2,fits_l3,cache_level,l1d_bytes,l2_bytes,l3_bytes,cache_line_bytes,verification_words,latency_per_word_us,latency_per_word_std_us,latency_cv,throughput_Mword_s,throughput_Mbit_s,repeats,mean,std,correctness_passed
paper,ebch_256_239_r17,ebch_like_candidate,candidate_unverified,galois_systematic_candidate_extended,256x17,256,17,1342177280,5242880,4096,1,0.05,6,32,10816,1342177280,167772160,0.330078125,0.01031494140625,0.000644683837890625,43,64,True,True,True,L1,32768,1048576,16777216,64,4096,1.1549994163484456,0.03057289292470431,0.026470050540251474,0.8658013033127935,221.64513364807513,5,6.055523339984939,0.16029000885707365,True
paper,ebch_256_239_r17,ebch_like_candidate,candidate_unverified,galois_systematic_candidate_extended,256x17,256,17,1342177280,5242880,4096,5,0.05,6,32,10816,1342177280,167772160,0.330078125,0.01031494140625,0.000644683837890625,43,64,True,True,True,L1,32768,1048576,16777216,64,4096,1.1280080841062914,0.09744539806825198,0.08638714512889056,0.8865184692291361,226.94872812265885,5,29.57005511999596,2.5544726431203832,True
paper,ebch_256_239_r17,ebch_like_candidate,candidate_unverified,galois_systematic_candidate_extended,256x17,256,17,1342177280,5242880,4096,1,0.05,8,32,32768,1342177280,167772160,1.0,0.03125,0.001953125,32,256,True,True,True,L1,32768,1048576,16777216,64,4096,0.7879304542535158,0.1595548967821644,0.2024987052103811,1.2691475429102412,324.90177098502176,5,4.131024819996673,0.836527177241274,True
paper,ebch_256_239_r17,ebch_like_candidate,candidate_unverified,galois_systematic_candidate_extended,256x17,256,17,1342177280,5242880,4096,5,0.05,8,32,32768,1342177280,167772160,1.0,0.03125,0.001953125,32,256,True,True,True,L1,32768,1048576,16777216,64,4096,0.7015493965143449,0.015109607658217446,0.021537482226183475,1.425416378331319,364.90659285281765,5,18.390696499985644,0.39608929899557527,True
paper,ebch_256_239_r17,ebch_like_candidate,candidate_unverified,galois_systematic_candidate_extended,256x17,256,17,1342177280,5242880,4096,1,0.05,10,32,102656,1342177280,167772160,3.1328125,0.097900390625,0.0061187744140625,26,1024,False,True,True,L2,32768,1048576,16777216,64,4096,0.6642881469720585,0.029973417372124618,0.045121108225020565,1.505370831254742,385.37493280121396,5,3.4827830399968662,0.15714703047196474,True
paper,ebch_256_239_r17,ebch_like_candidate,candidate_unverified,galois_systematic_candidate_extended,256x17,256,17,1342177280,5242880,4096,5,0.05,10,32,102656,1342177280,167772160,3.1328125,0.097900390625,0.0061187744140625,26,1024,False,True,True,L2,32768,1048576,16777216,64,4096,0.6647266593935441,0.014902664939019431,0.022419237634632723,1.5043777556813183,385.1207054544175,5,17.425410540006123,0.3906644197774317,True
paper,ebch_256_239_r17,ebch_like_candidate,candidate_unverified,galois_systematic_candidate_extended,256x17,256,17,1342177280,5242880,4096,1,0.05,12,32,344128,1342177280,167772160,10.501953125,0.32818603515625,0.020511627197265625,22,4096,False,True,True,L2,32768,1048576,16777216,64,4096,0.6361174850466611,0.02856207623836006,0.04490063063785293,1.5720366496868845,402.44138231984243,5,3.3350876400014386,0.1497475382685732,True
paper,ebch_256_239_r17,ebch_like_candidate,candidate_unverified,galois_systematic_candidate_extended,256x17,256,17,1342177280,5242880,4096,5,0.05,12,32,344128,1342177280,167772160,10.501953125,0.32818603515625,0.020511627197265625,22,4096,False,True,True,L2,32768,1048576,16777216,64,4096,0.6576311622614739,0.008605427264860653,0.013085491927219743,1.5206092067796513,389.2759569355907,5,17.23940633998718,0.2255861124919624,True
paper,ebch_256_239_r17,ebch_like_candidate,candidate_unverified,galois_systematic_candidate_extended,256x17,256,17,1342177280,5242880,4096,1,0.05,14,32,1179712,1342177280,167772160,36.001953125,1.12506103515625,0.07031631469726562,19,16384,False,False,True,L3,32768,1048576,16777216,64,4096,0.5897410621646948,0.01708776572823482,0.0289750312883297,1.695659441330768,434.0888169806766,5,3.091941620002035,0.08958910518124771,True
paper,ebch_256_239_r17,ebch_like_candidate,candidate_unverified,galois_systematic_candidate_extended,256x17,256,17,1342177280,5242880,4096,5,0.05,14,32,1179712,1342177280,167772160,36.001953125,1.12506103515625,0.07031631469726562,19,16384,False,False,True,L3,32768,1048576,16777216,64,4096,0.5830878303534348,0.027485158150324138,0.04713725226208921,1.715007496201484,439.0419190275799,5,15.285297620017081,0.7205069298158571,True
paper,ebch_256_239_r17,ebch_like_candidate,candidate_unverified,galois_systematic_candidate_extended,256x17,256,17,1342177280,5242880,4096,1,0.05,16,32,4194304,1342177280,167772160,128.0,4.0,0.25,16,65536,False,False,True,L3,32768,1048576,16777216,64,4096,0.5613891563394091,0.01009086450041365,0.017974811922289488,1.7812955393021734,456.0116580613564,5,2.9432959799887612,0.05290519167192881,True
paper,ebch_256_239_r17,ebch_like_candidate,candidate_unverified,galois_systematic_candidate_extended,256x17,256,17,1342177280,5242880,4096,5,0.05,16,32,4194304,1342177280,167772160,128.0,4.0,0.25,16,65536,False,False,True,L3,32768,1048576,16777216,64,4096,0.5591247756955298,0.003744551525089211,0.006697166156572355,1.7885095482596678,457.85844435447495,5,14.657120519992896,0.09816117149929868,True
