profile,task,batch_size,round_index,block_width,input_width,output_width,active_input_bytes,l1_fit_active_input,correctness_passed,stage_total_s,stage_repeats,stage_read_prepare_s,stage_read_prepare_pct,stage_index_s,stage_index_pct,stage_lookup_s,stage_lookup_pct,stage_xor_s,stage_xor_pct,stage_write_s,stage_write_pct
bch_255_239_r16,syndrome,10,0,14,255,16,318.75,True,True,5.6600081734359264e-05,5,1.1800089851021768e-05,20.84818517825299,3.3199903555214405e-05,58.656988714311865,4.100031219422817e-06,7.243860951765869,6.999936886131764e-06,12.36736179814106,3.00002284348011e-07,0.530038606226771
bch_255_239_r16,syndrome,30,0,14,255,16,956.25,True,True,6.670004222542048e-05,5,1.39997573569417e-05,20.98912817720251,4.050019197165966e-05,60.71988955386954,4.600035026669502e-06,6.896599871890866,6.9998204708099365e-06,10.49447682079906,3.00002284348011e-07,0.4497782525146217
bch_255_239_r16,syndrome,100,0,14,255,16,3187.5,True,True,9.929994121193886e-05,5,2.1000043489038944e-05,21.148092569579592,6.13001175224781e-05,61.73227977209313,7.400056347250938e-06,7.452226312457502,8.400063961744308e-06,8.459283922249057,5.00003807246685e-07,0.5035288048957771
bch_255_239_r16,syndrome,300,0,14,255,16,9562.5,True,True,0.0001697000116109,5,3.809994086623192e-05,22.45134841450163,0.0001126000424847,66.35240705983075,1.0299962013959885e-05,6.069511673087688,9.00006853044033e-06,5.303516744048207,4.00003045797348e-07,0.2357118552910314
bch_255_239_r16,syndrome,500,0,14,255,16,15937.5,True,True,0.0002381999511271,5,5.440006498247385e-05,22.837983267859883,0.0001592999324202,66.87655965773303,1.3899989426136017e-05,5.835429167957727,1.0200077667832376e-05,4.2821493537531,3.00002284348011e-07,0.1259455692280323
bch_255_239_r16,syndrome,700,0,14,255,16,22312.5,True,True,0.0003328999737277,5,7.419998291879892e-05,22.288972296368463,0.0002174000255763,65.30490920198672,2.1300045773386955e-05,6.3983320679999816,1.3499869965016842e-05,4.055233112171015,4.00003045797348e-07,0.120157127475312
bch_255_239_r16,syndrome,1000,0,14,255,16,31875.0,True,True,0.0004439001204445,5,9.780016262084246e-05,22.032019843312728,0.0003032002132385,68.30370150269874,2.609984949231148e-05,5.8796671346181935,1.559988595545292e-05,3.514278378620079,5.00003807246685e-07,0.1126388086459399
bch_255_239_r16,syndrome,1500,0,14,255,16,47812.5,False,True,0.0006073002004995,5,0.0001399995526298,23.052775631346364,0.0004064997192472,66.93554833553749,3.3000134862959385e-05,5.433908112628959,1.759990118443966e-05,2.898056211732046,6.00004568696022e-07,0.0987986778536265
bch_255_239_r16,syndrome,2000,0,14,255,16,63750.0,False,True,0.0007712999358773,5,0.0001846002414822,23.93365186427539,0.0005294999573379,68.65033078677625,4.240009002387524e-05,5.497224627102661,2.040003892034292e-05,2.6448905246100773,6.00004568696022e-07,0.0777913417059396
bch_255_239_r16,syndrome,3000,0,14,255,16,95625.0,False,True,0.0012402001302689,5,0.0002580001018941,20.803102305608867,0.0008947002934291,72.14160614829031,5.869974847882986e-05,4.733086785444951,2.739997580647469e-05,2.2093188944056257,1.00000761449337e-06,0.080632761607316
bch_255_239_r16,syndrome,5000,0,14,255,16,159375.0,False,True,0.0021032000659033,5,0.0005250001559033,24.96196935396639,0.0014481000835075,68.8522269937078,0.0001033004373311,4.91158397177161,4.0899612940847874e-05,1.9446372983675564,1.300009898841381e-06,0.0618110430822472
bch_255_239_r16,syndrome,7000,0,14,255,16,223125.0,False,True,0.0038440999342128,5,0.0014061998808756,36.58073163916295,0.0020949997706338,54.49909748672698,0.0002207999350503,5.7438656338033205,5.589995998889208e-05,1.4541755143090065,2.300017513334751e-06,0.0598324068753876
bch_255_239_r16,syndrome,10000,0,14,255,16,318750.0,False,True,0.0100321001373231,5,0.0017306003719568,17.250628963703708,0.0080209999578073,79.95334823230344,0.000191299826838,1.9068771664904904,7.6700234785676e-05,0.7645481378352935,2.600019797682762e-06,0.0259170040379653
