snr_db,matched,total_blocks_delta,emitted_blocks_delta,total_bits_delta,pre_fec_errors_delta,post_fec_errors_delta,pre_fec_ber_delta,post_fec_ber_delta
16.2,True,0,0,0,0,0,0.0,0.0
16.45,True,0,0,0,0,0,0.0,0.0
