left_reference,right_reference,left_type,right_type,candidate_transform,shape,num_equal_entries,num_total_entries,match_rate,exact_match,notes
ofec,galois,reference_syndrome_table,message_one_hot_encoding,identity,"(255, 16) vs (255, 16)",4080,4080,1.0,True,"left_notes=source=OFEC_CNN configured local path, commit=unknown, license=unknown; right_notes=source=galois Python package, version=0.4.10, license=MIT, commit=not applicable"
ofec,galois,reference_syndrome_table,message_one_hot_encoding,reverse_codeword_positions,"(255, 16) vs (255, 16)",1980,4080,0.4852941176470588,False,"left_notes=source=OFEC_CNN configured local path, commit=unknown, license=unknown; right_notes=source=galois Python package, version=0.4.10, license=MIT, commit=not applicable"
ofec,galois,reference_syndrome_table,message_one_hot_encoding,reverse_bit_order_inside_each_byte,"(255, 16) vs (255, 16)",2144,4080,0.5254901960784314,False,"left_notes=source=OFEC_CNN configured local path, commit=unknown, license=unknown; right_notes=source=galois Python package, version=0.4.10, license=MIT, commit=not applicable"
ofec,galois,reference_syndrome_table,message_one_hot_encoding,reverse_output_byte_order,"(255, 16) vs (255, 16)",2224,4080,0.5450980392156862,False,"left_notes=source=OFEC_CNN configured local path, commit=unknown, license=unknown; right_notes=source=galois Python package, version=0.4.10, license=MIT, commit=not applicable"
ofec,galois,reference_syndrome_table,message_one_hot_encoding,reverse_output_bit_order,"(255, 16) vs (255, 16)",2080,4080,0.5098039215686274,False,"left_notes=source=OFEC_CNN configured local path, commit=unknown, license=unknown; right_notes=source=galois Python package, version=0.4.10, license=MIT, commit=not applicable"
