profile,task,measurement_mode,block_width,batch_size,input_width,output_width,lut_table_bytes,cache_level_fit,theoretical_ops,theoretical_continuous_ops,predicted_l1_w,predicted_l2_w,predicted_l3_w,backend,processed_bits,packed_word_bits,build_init_s,kernel_build_s,exactness_elapsed_s,timing_elapsed_s,elapsed_s,throughput_Mbit_s,throughput_Mcodeword_s,ns_per_bit,median_runtime_s,min_runtime_s,max_runtime_s,stdev_runtime_s,cv,samples_s,warmups,repeats,correctness_passed,timed,skip_reason,affinity_status,frequency_lock_status,cache_flush_bytes,measurement_order,cpu_model,l1d_bytes,l2_bytes,l3_bytes,python_version,numpy_version,thread_count,seed,notes,round_index,probe_iterations,probe_before_ns_per_iter,probe_after_ns_per_iter,probe_ns_per_iter,throughput_norm_Mbit_s,normalization_note,normalization_reference_probe_ns_per_iter
bch_511_484_r27,syndrome,natural,9,1000,511,27,116736,L2,2052,2044.0,6,12,17,PackedBlockLUTKernel.apply_many_packed,511000,32,1.969552000053227,0.0042869000462815166,0.02146850002463907,0.030098299961537123,0.056623400072567165,583.699791233273,1.1422696501629608,1.7132094529058253,0.0008754500304348767,0.000826900009997189,0.001232899958267808,0.00018878309745144563,0.1981610685785838,0.0008934000507;0.000826900009997;0.00085750001017;0.00123289995827,30,4,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,88.22200121358037,87.21999824047089,87.72099972702563,503.5574496309124,throughput scaled by row_probe/reference_probe,101.68200125917792
bch_1023_993_r30,syndrome,natural,9,1000,1023,30,233472,L2,4446,4433.0,5,11,16,PackedBlockLUTKernel.apply_many_packed,1023000,32,1.3068214999511838,0.008692899951711297,0.04495370003860444,0.05817669990938157,0.11321870004758239,606.9595555528388,0.5933133485364993,1.647556234762903,0.0016854500281624496,0.0016500999918207526,0.0017031000461429358,2.476065261183834e-05,0.014729496744327109,0.00170310004614;0.00167210004292;0.00165009999182;0.0016988000134,30,4,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,88.22200121358037,87.21999824047089,87.72099972702563,523.6236339532154,throughput scaled by row_probe/reference_probe,101.68200125917792
bch_511_484_r27,syndrome,natural,10,1000,511,27,212992,L2,1924,1890.7,6,12,17,PackedBlockLUTKernel.apply_many_packed,511000,32,1.969552000053227,0.00486870005261153,0.020048499922268093,0.03099949995521456,0.05664490000344813,653.3691678763059,1.278608939092575,1.5305282972723888,0.0007820999599061906,0.0007695000385865569,0.0008314999286085367,2.7503779731703182e-05,0.03475771605401707,0.000831499928609;0.000769500038587;0.000780000002123;0.000784199917689,30,4,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,88.22200121358037,87.21999824047089,87.72099972702563,563.6611778601393,throughput scaled by row_probe/reference_probe,101.68200125917792
bch_1023_993_r30,syndrome,natural,10,1000,1023,30,421888,L2,4120,4092.0,5,11,16,PackedBlockLUTKernel.apply_many_packed,1023000,32,1.3068214999511838,0.008661400061100721,0.0454662999836728,0.05805899994447827,0.11364410002715886,604.7350366920747,0.5911388432962607,1.653616773173985,0.0016916499589569867,0.0016349999932572246,0.0017182000447064638,3.5121836378940225e-05,0.020854649511751918,0.00163499999326;0.00171820004471;0.00168909993954;0.00169419997837,30,4,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,88.22200121358037,87.21999824047089,87.72099972702563,521.7045429050321,throughput scaled by row_probe/reference_probe,101.68200125917792
bch_511_484_r27,syndrome,natural,11,1000,511,27,385024,L2,1786,1765.2727272727273,6,12,17,PackedBlockLUTKernel.apply_many_packed,511000,32,1.969552000053227,0.004454300040379167,0.02061360003426671,0.030446399934589863,0.056261799996718764,602.9498580333337,1.1799410137638626,1.6585127049564965,0.0008474999922327697,0.0008033999474719167,0.0009008999913930893,4.143319006787034e-05,0.04875496837863624,0.000900899991393;0.000861199921928;0.000833800062537;0.000803399947472,30,4,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,88.22200121358037,87.21999824047089,87.72099972702563,520.1644703779684,throughput scaled by row_probe/reference_probe,101.68200125917792
bch_1023_993_r30,syndrome,natural,11,1000,1023,30,761856,L2,3813,3813.0,5,11,16,PackedBlockLUTKernel.apply_many_packed,1023000,32,1.3068214999511838,0.010023699956946075,0.04563770000822842,0.060311099980026484,0.117292599985376,594.90579302749,0.581530589469687,1.6809384136452528,0.0017195999971590936,0.0016616999637335539,0.002113300026394427,0.00020917045515318625,0.11597707610221965,0.0016961999936;0.00166169996373;0.00211330002639;0.00174300000072,30,4,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,88.22200121358037,87.21999824047089,87.72099972702563,513.2248604623138,throughput scaled by row_probe/reference_probe,101.68200125917792
bch_511_484_r27,syndrome,natural,12,1000,511,27,704512,L2,1677,1660.75,6,12,17,PackedBlockLUTKernel.apply_many_packed,511000,32,1.969552000053227,0.004368699970655143,0.020250000059604645,0.028813399956561625,0.05425180005840957,620.1832729303184,1.213665896145437,1.612426590086954,0.0008239499875344336,0.0008013000478968024,0.0008329999400302768,1.4573124123239265e-05,0.01776019046680766,0.000817299936898;0.000830600038171;0.000801300047897;0.00083299994003,30,4,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,88.22200121358037,87.21999824047089,87.72099972702563,535.0317267729409,throughput scaled by row_probe/reference_probe,101.68200125917792
bch_1023_993_r30,syndrome,natural,12,1000,1023,30,1409024,L3,3612,3580.5,5,11,16,PackedBlockLUTKernel.apply_many_packed,1023000,32,1.3068214999511838,0.00907919998280704,0.044786499929614365,0.05690540000796318,0.11206200008746237,605.2717402333714,0.5916634801890238,1.6521504863492147,0.0016901499475352466,0.0015835000667721033,0.001970799989067018,0.00017789629861056467,0.10261373395431696,0.00161149993073;0.00158350006677;0.00197079998907;0.00176879996434,30,4,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,88.22200121358037,87.21999824047089,87.72099972702563,522.1675567188494,throughput scaled by row_probe/reference_probe,101.68200125917792
bch_511_484_r27,syndrome,natural,13,1000,511,27,1310720,L3,1600,1572.3076923076924,6,12,17,PackedBlockLUTKernel.apply_many_packed,511000,32,1.969552000053227,0.004209000035189092,0.02095879998523742,0.029468699940480292,0.055359199992381036,619.3939427501899,1.212121218689217,1.6144814002537213,0.0008249999955296516,0.0008134000236168504,0.0008338999468833208,1.0848412975881465e-05,0.013160359205840228,0.000813400023617;0.000816600047983;0.000833399943076;0.000833899946883,30,4,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,88.22200121358037,87.21999824047089,87.72099972702563,534.3507721137275,throughput scaled by row_probe/reference_probe,101.68200125917792
bch_1023_993_r30,syndrome,natural,13,1000,1023,30,2588672,L3,3397,3383.769230769231,5,11,16,PackedBlockLUTKernel.apply_many_packed,1023000,32,1.3068214999511838,0.010851799976080656,0.04569880000781268,0.05973919993266463,0.11764189996756613,593.4735416834565,0.5801305392800161,1.684995083628133,0.0017237499705515802,0.0016113999299705029,0.001976700033992529,0.00015457638874394986,0.08788242130291835,0.00161139992997;0.00197670003399;0.00172669999301;0.00172079994809,30,4,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,88.22200121358037,87.21999824047089,87.72099972702563,511.98925811181766,throughput scaled by row_probe/reference_probe,101.68200125917792
