profile,task,backend,baseline_role,output_mode,batch_size,input_width,output_width,processed_bits,median_runtime_s,throughput_Mbit_s,throughput_Mcodeword_s,samples_s,warmups,repeats,block_width,packed_word_bits,correctness_passed,galois_available,galois_version,cpu_model,l1d_bytes,l2_bytes,l3_bytes,python_version,numpy_version,thread_count,seed,notes
bch_255_239_r16,syndrome,NaiveGF2Kernel.apply_many,vectorization-overhead reference only,unpacked,1000,255,16,255000,0.00575020001269877,44.34628350959215,0.1739069941552633,0.0057502000127;0.0038808999816;0.00582379999105,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,not a headline baseline
bch_255_239_r16,syndrome,PackedBatchGF2Kernel.apply_many,fair vectorized baseline,unpacked,1000,255,16,255000,0.004868899995926768,52.37322602914998,0.20538520011431363,0.00487240002258;0.00486889999593;0.00450789998285,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,same-task vectorized baseline
bch_255_239_r16,syndrome,galois.GF2_matmul,third-party verified same-task baseline,unpacked,1000,255,16,255000,0.0011946000158786774,213.4605697392671,0.8371002734873221,0.00120790000074;0.00119310000446;0.00119460001588,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,galois output matched PackedBatchGF2Kernel before timing
bch_255_239_r16,syndrome,PackedBlockLUTKernel.apply_many_packed,packed block-LUT kernel under test,packed,1000,255,16,255000,0.0012156000011600554,209.7729514286375,0.8226390252103432,0.00121560000116;0.00119939999422;0.00123409996741,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,vectorized packed LUT path; not BlockLUTKernel.apply_many
bch_255_239_r16,syndrome,NaiveGF2Kernel.apply_many,vectorization-overhead reference only,unpacked,10000,255,16,2550000,0.06043720000889152,42.1925568958331,0.1654610074346396,0.0582541999756;0.0604372000089;0.0705986000248,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,not a headline baseline
bch_255_239_r16,syndrome,PackedBatchGF2Kernel.apply_many,fair vectorized baseline,unpacked,10000,255,16,2550000,0.05394070001784712,47.27413621173424,0.18538876945778132,0.0473916000337;0.0539407000178;0.069995399972,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,same-task vectorized baseline
bch_255_239_r16,syndrome,galois.GF2_matmul,third-party verified same-task baseline,unpacked,10000,255,16,2550000,0.010061900014989078,253.4312601199872,0.9938480789019106,0.00801920000231;0.010061900015;0.0107739000232,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,galois output matched PackedBatchGF2Kernel before timing
bch_255_239_r16,syndrome,PackedBlockLUTKernel.apply_many_packed,packed block-LUT kernel under test,packed,10000,255,16,2550000,0.007596799987368286,335.6676500947844,1.3163437258618995,0.00711099995533;0.00759679998737;0.00911230000202,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,vectorized packed LUT path; not BlockLUTKernel.apply_many
bch_255_239_r16,syndrome,NaiveGF2Kernel.apply_many,vectorization-overhead reference only,unpacked,100000,255,16,25500000,0.5136732999817468,49.642447837771854,0.19467626603047786,0.54533589998;0.513673299982;0.513335100026,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,not a headline baseline
bch_255_239_r16,syndrome,PackedBatchGF2Kernel.apply_many,fair vectorized baseline,unpacked,100000,255,16,25500000,0.5757437999709509,44.290533395733654,0.17368836625777903,0.575743799971;0.592776199977;0.539988500008,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,same-task vectorized baseline
bch_255_239_r16,syndrome,galois.GF2_matmul,third-party verified same-task baseline,unpacked,100000,255,16,25500000,0.07025730004534125,362.9516076413884,1.4233396378093663,0.0948121999972;0.0702573000453;0.0683450000361,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,galois output matched PackedBatchGF2Kernel before timing
bch_255_239_r16,syndrome,PackedBlockLUTKernel.apply_many_packed,packed block-LUT kernel under test,packed,100000,255,16,25500000,0.18067560001509264,141.13693270076243,0.5534781674539703,0.180675600015;0.192620900052;0.148286600015,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,vectorized packed LUT path; not BlockLUTKernel.apply_many
bch_255_239_r16,syndrome,NaiveGF2Kernel.apply_many,vectorization-overhead reference only,unpacked,1000000,255,16,255000000,5.986970700032543,42.59249172517478,0.16702937931441095,5.94975099998;6.03648849996;5.98697070003,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,not a headline baseline
bch_255_239_r16,syndrome,PackedBatchGF2Kernel.apply_many,fair vectorized baseline,unpacked,1000000,255,16,255000000,5.840855799964629,43.65798587281409,0.1712077877365258,5.84085579996;5.87918360002;5.80622790003,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,same-task vectorized baseline
bch_255_239_r16,syndrome,galois.GF2_matmul,third-party verified same-task baseline,unpacked,1000000,255,16,255000000,0.7896473000291735,322.92898359885356,1.2663881709758966,0.759301999991;0.794805200014;0.789647300029,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,galois output matched PackedBatchGF2Kernel before timing
bch_255_239_r16,syndrome,PackedBlockLUTKernel.apply_many_packed,packed block-LUT kernel under test,packed,1000000,255,16,255000000,1.9544587000273168,130.47090736500903,0.5116506171176824,1.95445870003;1.97611439996;1.3183556,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,vectorized packed LUT path; not BlockLUTKernel.apply_many
bch_255_239_r16,parity,NaiveGF2Kernel.apply_many,vectorization-overhead reference only,unpacked,1,239,16,239,1.2399978004395962e-05,19.274227737764633,0.08064530434211144,1.23999780044e-05;1.22999772429e-05;1.41000491567e-05,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,not a headline baseline
bch_255_239_r16,parity,PackedBatchGF2Kernel.apply_many,fair vectorized baseline,unpacked,1,239,16,239,1.1899974197149277e-05,20.08407716188613,0.08403379565642732,1.21999764815e-05;1.18999741971e-05;1.18000316434e-05,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,same-task vectorized baseline
bch_255_239_r16,parity,galois.GF2_matmul,third-party verified same-task baseline,unpacked,1,239,16,239,5.920004332438111e-05,4.037159207644863,0.016891879529894824,6.20999489911e-05;5.92000433244e-05;5.74999721721e-05,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,galois output matched PackedBatchGF2Kernel before timing
