profile,task,batch_size,block_width,lut_Mbit_s,direct_Mbit_s,lut_vs_direct,lut_cv,direct_cv,naive_Mbit_s
bch_255_239_r16,parity,1,14,4.704720929965236,17.835840037252943,0.26377904938251806,0.0040870164094553,0.0165635999602149,3.013870547794862
bch_255_239_r16,parity,10,14,10.96330709086006,37.996812321291415,0.288532285239012,0.3219267079074127,0.0049527584495665,1.6991326599088508
bch_255_239_r16,parity,100,14,277.584342670631,36.56110873047123,7.592339300128582,0.0217781249597523,0.188918686936835,3.3323108605080947
bch_255_239_r16,parity,1000,14,527.7102267818431,55.38946407182099,9.527267245221678,0.2717949344741001,0.2890686462129849,2.7966627282899705
bch_255_239_r16,parity,10000,14,230.6037188774126,38.93326120731892,5.923051697350806,0.2570316492465776,0.2298692734582289,
bch_255_239_r16,parity,100000,14,195.28521037940337,43.73750324683146,4.464937316547687,0.1566972390314117,0.1178812851460569,
bch_255_239_r16,parity,300000,14,206.47817349543584,40.55453490302314,5.0913707675154205,0.0850903765862546,0.0674995342955355,
bch_255_239_r16,syndrome,1,14,4.473686693435398,17.22973406140123,0.25964920163553407,0.0098281728334571,0.0138880544456332,1.888889165664201
bch_255_239_r16,syndrome,10,14,64.07023870831871,41.94079133624882,1.5276354276354278,0.0493260855153843,0.282469304369107,5.787561162842436
bch_255_239_r16,syndrome,100,14,99.4152147334157,83.0619182202935,1.1968807952370017,0.0477257548855262,0.0214001774355131,6.472245545649069
bch_255_239_r16,syndrome,1000,14,486.82700501043695,37.08551436617707,13.127147171361212,0.4509155510823605,0.2730302092907356,5.193440384735136
bch_255_239_r16,syndrome,10000,14,252.79812603544497,40.13813820047815,6.298202591579932,0.2048974012694265,0.1932489400811542,
bch_255_239_r16,syndrome,100000,14,223.72169366234067,43.52991785416579,5.139492668280573,0.1093112000231965,0.0800592217804145,
bch_255_239_r16,syndrome,300000,14,200.98638332186312,39.10783825244011,5.1392864526159965,0.0955474173455672,0.0667250667504576,
bch_511_484_r27,parity,1,14,5.100104077636365,13.595491012249756,0.37513202524580314,0.0156509538956587,0.0596565709146737,5.880920264074505
bch_511_484_r27,parity,10,14,54.44313651257258,20.234117202449784,2.6906603321434277,0.0043285418530458,0.0148130198302521,6.70917640039769
bch_511_484_r27,parity,100,14,346.7048331973765,18.54761392106823,18.69269193723914,0.7168044711626501,0.3232126951099398,6.374879851818595
bch_511_484_r27,parity,1000,14,228.21577117648147,19.10151822622972,11.947520007236982,0.1706824727529299,0.1494817363826676,5.440109339770809
bch_511_484_r27,parity,10000,14,227.57193894212327,22.936768919317554,9.921708665358707,0.1251441389147007,0.1063134814036043,
bch_511_484_r27,parity,100000,14,187.2659900516084,22.778647691341263,8.221119734109278,0.1215332640945605,0.055182610975294,
bch_511_484_r27,parity,300000,14,176.06267830379514,22.25163190510105,7.912349038248914,0.0352698841244313,0.0397562607252537,
bch_511_484_r27,syndrome,1,14,6.602066562051316,5.928077142761448,1.1136944413945171,0.0206184830906307,0.3268156567332129,2.903410028463556
bch_511_484_r27,syndrome,10,14,54.36169213988661,19.953145561952866,2.7244672761544315,0.0185059782983583,0.017959758228588,11.089409329980333
bch_511_484_r27,syndrome,100,14,386.2435040153179,20.610656072911592,18.739990743087233,0.1664433665325034,0.253019326191092,9.73574402272635
bch_511_484_r27,syndrome,1000,14,501.4719941214265,22.26094527806904,22.526985617967668,0.3028054110435144,0.1863958932640322,9.885437259470512
bch_511_484_r27,syndrome,10000,14,206.2488148158172,21.17159724632947,9.741769239993202,0.1347936652910217,0.0916396238820461,
bch_511_484_r27,syndrome,100000,14,184.95628552603696,20.453219324414928,9.042893570561548,0.0870003321712358,0.0245194047447663,
bch_511_484_r27,syndrome,300000,14,174.89923329768934,20.190946558683283,8.662260225857143,0.0695052168395558,0.0303665137109726,
