matrix_source,workload_type,backend_or_method,batch_size,density,flip_count,mean_latency_per_word_us,mean_throughput_Mword_s,relative_to_best_from_scratch,correctness_all_true,num_rows
galois_systematic_candidate,event_update,HybridPlanner.update_many,1,0.5,1,17.0666608028,0.058593770132,7.16797122358,True,1
galois_systematic_candidate,event_update,HybridPlanner.update_many,1,0.5,2,14.9333306278,0.0669642978466,6.79017953429,True,1
galois_systematic_candidate,event_update,HybridPlanner.update_many,1,0.5,4,13.9666566004,0.0715990969499,6.65394200901,True,1
galois_systematic_candidate,event_update,HybridPlanner.update_many,16,0.005,1,0.752082996769,1.32964048422,5.85041753132,True,1
galois_systematic_candidate,event_update,HybridPlanner.update_many,16,0.005,2,0.770833139541,1.29729762345,5.63783813547,True,1
galois_systematic_candidate,event_update,HybridPlanner.update_many,16,0.005,4,0.760416393556,1.31506896547,5.45753630006,True,1
galois_systematic_candidate,event_update,HybridPlanner.update_many,16,0.05,1,0.712499362029,1.40351002863,6.23392352323,True,1
galois_systematic_candidate,event_update,HybridPlanner.update_many,16,0.05,2,0.754166345966,1.32596741468,5.79005838456,True,1
galois_systematic_candidate,event_update,HybridPlanner.update_many,16,0.05,4,0.841667012234,1.18811832407,5.04455189485,True,1
galois_systematic_candidate,event_update,HybridPlanner.update_many,16,0.5,1,0.747917511035,1.33704584429,6.20612136365,True,1
galois_systematic_candidate,event_update,HybridPlanner.update_many,16,0.5,2,0.785416583919,1.27320968321,5.90185755024,True,1
galois_systematic_candidate,event_update,HybridPlanner.update_many,16,0.5,4,0.791666631509,1.26315795083,5.62631599102,True,1
galois_systematic_candidate,event_update,HybridPlanner.update_many,4096,0.005,1,0.0280110725726,35.7001681178,19.7966263238,True,1
galois_systematic_candidate,event_update,HybridPlanner.update_many,4096,0.005,2,0.0752685546483,13.2857606297,7.22640287921,True,1
galois_systematic_candidate,event_update,HybridPlanner.update_many,4096,0.005,4,0.107185878543,9.32958719554,4.77321357932,True,1
galois_systematic_candidate,event_update,HybridPlanner.update_many,4096,0.05,1,0.0257649759305,38.8123785831,17.8660756916,True,1
galois_systematic_candidate,event_update,HybridPlanner.update_many,4096,0.05,2,0.0626708972125,15.9563696146,6.85170772331,True,1
galois_systematic_candidate,event_update,HybridPlanner.update_many,4096,0.05,4,0.121004229451,8.26417394281,3.65996378825,True,1
galois_systematic_candidate,event_update,HybridPlanner.update_many,4096,0.5,1,0.0292073565333,34.2379495679,19.9866260235,True,1
galois_systematic_candidate,event_update,HybridPlanner.update_many,4096,0.5,2,0.0842854793367,11.8644398522,5.46133065516,True,1
galois_systematic_candidate,event_update,HybridPlanner.update_many,4096,0.5,4,0.112906898645,8.85685473605,4.26574898208,True,1
galois_systematic_candidate,event_update,HybridPlanner.update_many,64,0.005,1,0.189062423791,5.2892583304,7.02755003375,True,1
galois_systematic_candidate,event_update,HybridPlanner.update_many,64,0.005,2,0.224999894272,4.44444653291,5.56018836655,True,1
galois_systematic_candidate,event_update,HybridPlanner.update_many,64,0.005,4,0.260937364753,3.83233731569,4.93613071054,True,1
galois_systematic_candidate,event_update,HybridPlanner.update_many,64,0.05,1,0.186979074594,5.34819204862,6.71866715741,True,1
galois_systematic_candidate,event_update,HybridPlanner.update_many,64,0.05,2,0.219791521279,4.54976604274,5.59715996083,True,1
galois_systematic_candidate,event_update,HybridPlanner.update_many,64,0.05,4,0.270833273438,3.69230850887,5.03461565585,True,1
galois_systematic_candidate,event_update,HybridPlanner.update_many,64,0.5,1,0.178645677806,5.59767251175,6.95044368531,True,1
galois_systematic_candidate,event_update,HybridPlanner.update_many,64,0.5,2,0.227083243468,4.40367146746,5.64449790532,True,1
galois_systematic_candidate,event_update,HybridPlanner.update_many,64,0.5,4,0.256770969524,3.89452126093,4.93914528058,True,1
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,1,0.005,1,14.1666775259,0.0705881811859,5.83999479555,True,1
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,1,0.005,2,14.5666611691,0.0686499114924,5.90389205605,True,1
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,1,0.005,4,13.2333370857,0.0755667292025,6.15365058699,True,1
