preset,workload_type,code_profile,task_kind,backend_or_method,unit_type,mean_num_units,mean_total_runtime_s,mean_latency_per_unit_us,std_latency_per_unit_us,mean_throughput_Munit_s,correctness_all_true,notes,num_rows
lightweight,product_like,bch_255_239_r16,syndrome,PackedBlockLUT.apply_many_packed,component,80,0.000296600005337,5.25193143454,3.07220733079,0.269428146963,True,trace-level task breakdown; no BER; no full decoder,8
lightweight,product_like,ebch_256_239_r17,syndrome,Naive+EventUpdate.integrated,component,80,0.000470516669642,6.35989576697,0.817785474796,0.159456276365,True,trace-level task breakdown; no BER; no full decoder,8
lightweight,product_like,ebch_256_239_r17,syndrome,Naive.apply_many,component,80,0.000477224998273,6.27200512958,0.507884439184,0.160352064251,True,trace-level task breakdown; no BER; no full decoder,8
lightweight,product_like,ebch_256_239_r17,syndrome,PackedBatch.apply_many,component,80,0.000464549996347,6.38971343708,1.06975081748,0.159830698447,True,trace-level task breakdown; no BER; no full decoder,8
lightweight,product_like,ebch_256_239_r17,syndrome,PackedBlockLUT.apply_many_packed,component,80,0.000255066663764,4.86486525612,2.98043660304,0.305544721401,True,trace-level task breakdown; no BER; no full decoder,8
lightweight,staircase_like,ebch_256_239_r17,event_update,Naive+EventUpdate.integrated,update,128,2.76708330299e-05,0.230099822652,0.0330256333152,4.42106224847,True,trace-level task breakdown; no BER; no full decoder,8
lightweight,staircase_like,ebch_256_239_r17,event_update,Naive.apply_many,update,128,0.00072644999697,5.75538191091,0.372866086828,0.174351204958,True,trace-level task breakdown; no BER; no full decoder,8
lightweight,staircase_like,ebch_256_239_r17,event_update,PackedBatch.apply_many,update,128,0.000719454171,5.570334262,0.163077459143,0.17965550518,True,trace-level task breakdown; no BER; no full decoder,8
lightweight,staircase_like,ebch_256_239_r17,event_update,PackedBlockLUT.apply_many_packed,update,128,0.000195970833981,1.42905816524,0.313091806961,0.725069103162,True,trace-level task breakdown; no BER; no full decoder,8
lightweight,staircase_like,ebch_256_239_r17,syndrome,Naive+EventUpdate.integrated,component,128,0.00075369583404,5.97363282395,0.525959409288,0.168508977498,True,trace-level task breakdown; no BER; no full decoder,8
lightweight,staircase_like,ebch_256_239_r17,syndrome,Naive.apply_many,component,128,0.000739045831627,5.75206166155,0.323369888219,0.174320699753,True,trace-level task breakdown; no BER; no full decoder,8
lightweight,staircase_like,ebch_256_239_r17,syndrome,PackedBatch.apply_many,component,128,0.000717691669706,5.54379340024,0.159619299585,0.180510869774,True,trace-level task breakdown; no BER; no full decoder,8
lightweight,staircase_like,ebch_256_239_r17,syndrome,PackedBlockLUT.apply_many_packed,component,128,0.000175175009645,1.3173612135,0.158897896966,0.768243090907,True,trace-level task breakdown; no BER; no full decoder,8
