preset,code_profile,matrix_kind,verification_status,matrix_source,total_bits,num_words,iterations,density,is_20x_long_stream,best_block_width,best_cache_level,best_latency_per_word_us,best_latency_cv,best_lut_bytes,stream_input_bits,stream_input_bytes,best_lut_over_l1,best_lut_over_l2,best_lut_over_l3,best_l1_block_width,best_l1_latency_per_word_us,best_l1_latency_cv,best_l1_lut_bytes,best_l2_block_width,best_l2_latency_per_word_us,best_l2_latency_cv,best_l2_lut_bytes,best_l2_over_best_l1,l2_better_than_l1,l2_at_least_20pct_faster_than_l1,l2_stable_cv,l2_strong_20x_claim,best_l3_block_width,best_l3_latency_per_word_us,best_l3_latency_cv,best_l3_lut_bytes,best_l3_over_best_l1,l3_better_than_l1,l3_at_least_20pct_faster_than_l1,l3_stable_cv,l3_strong_20x_claim,best_l2_l3_block_width,best_l2_l3_cache_level,best_l2_l3_latency_per_word_us,best_l2_l3_lut_bytes,best_l2_l3_lut_over_l1,best_l2_l3_lut_over_l2,best_l2_l3_lut_over_l3,best_l2_l3_over_best_l1,l2_l3_better_than_l1,num_widths,correctness_all_true
paper,bch_255_239_r16,bch_candidate,verified_candidate,galois_systematic_candidate,1342177280,5263440,5,0.05,True,8,L1,0.506653124736,0.0390850818805,16128,1342177200,167772150,0.4921875,0.015380859375,0.000961303710938,8,0.506653124736,0.0390850818805,16128,10,0.552955963617,0.118191314055,51264,1.09138962462,False,False,False,False,18,0.720538926742,0.0104615778335,7340048,1.4221543134,False,False,True,False,10,L2,0.552955963617,51264,1.564453125,0.0488891601562,0.00305557250977,1.09138962462,False,6,True
paper,ebch_256_239_r17,ebch_like_candidate,candidate_unverified,galois_systematic_candidate_extended,1342177280,5242880,5,0.05,True,14,L3,0.46499861472,0.00806286118367,1179712,1342177280,167772160,36.001953125,1.12506103516,0.0703163146973,8,0.716130150387,0.0390825161226,32768,12,0.498882779803,0.0193948253711,344128,0.696637028246,True,True,True,True,14,0.46499861472,0.00806286118367,1179712,0.649321376106,True,True,True,True,14,L3,0.46499861472,1179712,36.001953125,1.12506103516,0.0703163146973,0.649321376106,True,6,True
