preset,code_profile,matrix_kind,verification_status,matrix_source,total_bits,num_words,iterations,density,is_20x_long_stream,best_block_width,best_cache_level,best_latency_per_word_us,best_latency_cv,best_lut_bytes,stream_input_bits,stream_input_bytes,best_lut_over_l1,best_lut_over_l2,best_lut_over_l3,best_l1_block_width,best_l1_latency_per_word_us,best_l1_latency_cv,best_l1_lut_bytes,best_l2_block_width,best_l2_latency_per_word_us,best_l2_latency_cv,best_l2_lut_bytes,best_l2_over_best_l1,l2_better_than_l1,l2_at_least_20pct_faster_than_l1,l2_stable_cv,l2_strong_20x_claim,best_l3_block_width,best_l3_latency_per_word_us,best_l3_latency_cv,best_l3_lut_bytes,best_l3_over_best_l1,l3_better_than_l1,l3_at_least_20pct_faster_than_l1,l3_stable_cv,l3_strong_20x_claim,best_l2_l3_block_width,best_l2_l3_cache_level,best_l2_l3_latency_per_word_us,best_l2_l3_lut_bytes,best_l2_l3_lut_over_l1,best_l2_l3_lut_over_l2,best_l2_l3_lut_over_l3,best_l2_l3_over_best_l1,l2_l3_better_than_l1,num_widths,correctness_all_true
paper,bch_255_239_r16,bch_candidate,verified_candidate,galois_systematic_candidate,1342177280,5263440,1,0.05,True,14,L2,0.898618143266,0.0747367292315,589840,1342177200,167772150,18.0004882812,0.562515258789,0.0351572036743,8,1.00364407688,0.0320207019769,16128,14,0.898618143266,0.0747367292315,589840,0.89535539936,True,False,True,False,16,0.975904161534,0.0286437570202,2031616,0.972360804013,True,False,True,False,14,L2,0.898618143266,589840,18.0004882812,0.562515258789,0.0351572036743,0.89535539936,True,6,True
paper,bch_255_239_r16,bch_candidate,verified_candidate,galois_systematic_candidate,1342177280,5263440,5,0.05,True,14,L2,0.92158637773,0.0853180399738,589840,1342177200,167772150,18.0004882812,0.562515258789,0.0351572036743,8,1.0260708928,0.00884441550632,16128,14,0.92158637773,0.0853180399738,589840,0.89817027673,True,False,True,False,16,0.976245894699,0.0505597960747,2031616,0.951440978932,True,False,True,False,14,L2,0.92158637773,589840,18.0004882812,0.562515258789,0.0351572036743,0.89817027673,True,6,True
paper,ebch_256_239_r17,ebch_like_candidate,candidate_unverified,galois_systematic_candidate_extended,1342177280,5242880,1,0.05,True,16,L3,0.561389156339,0.0179748119223,4194304,1342177280,167772160,128,4,0.25,8,0.787930454254,0.20249870521,32768,12,0.636117485047,0.0449006306379,344128,0.807326943149,True,False,False,False,16,0.561389156339,0.0179748119223,4194304,0.712485668385,True,True,False,False,16,L3,0.561389156339,4194304,128,4,0.25,0.712485668385,True,6,True
paper,ebch_256_239_r17,ebch_like_candidate,candidate_unverified,galois_systematic_candidate_extended,1342177280,5242880,5,0.05,True,16,L3,0.559124775696,0.00669716615657,4194304,1342177280,167772160,128,4,0.25,8,0.701549396514,0.0215374822262,32768,12,0.657631162261,0.0130854919272,344128,0.937398229589,True,False,True,False,16,0.559124775696,0.00669716615657,4194304,0.796985612807,True,True,True,True,16,L3,0.559124775696,4194304,128,4,0.25,0.796985612807,True,6,True
