preset,workload_type,code_profile,num_blocks,window_len,num_iterations_or_steps,backend_or_method,block_width,batch_size,density,num_syndrome_calls,num_candidate_tests,num_event_updates,mean_total_runtime_s,mean_latency_per_component_us,mean_throughput_Mcomponent_s,std_latency_per_component_us,correctness_all_true,notes,num_rows
lightweight,staircase_like,bch_255_239_r16,32,8,1,PackedBatch.apply_many,8,64,0.05,16,0,16,0.000227366671121,7.10520847254,0.140741823954,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,staircase_like,bch_255_239_r16,32,8,1,PackedBlockLUT.apply_many_packed,8,64,0.05,16,0,16,0.000146833345449,4.58854204529,0.217934147738,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,staircase_like,bch_255_239_r16,32,8,3,EventUpdate.integrated,8,64,0.05,48,0,48,0.000433500002449,4.51562502551,0.221453285946,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,staircase_like,bch_255_239_r16,32,8,3,Naive.apply_many,8,64,0.05,48,0,48,0.000715466662465,7.45277773401,0.134178159565,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,staircase_like,bch_255_239_r16,32,8,3,PackedBatch.apply_many,8,64,0.05,48,0,48,0.000624633335974,6.50659724973,0.153690164247,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,staircase_like,bch_255_239_r16,32,8,3,PackedBlockLUT.apply_many_packed,8,64,0.05,48,0,48,0.000415366666857,4.3267361131,0.231121097719,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,staircase_like,bch_255_239_r16,8,4,1,EventUpdate.integrated,8,64,0.05,8,0,8,5.90333365835e-05,3.68958353647,0.271033299589,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,staircase_like,bch_255_239_r16,8,4,1,Naive.apply_many,8,64,0.05,8,0,8,9.32000111789e-05,5.82500069868,0.171673799151,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,staircase_like,bch_255_239_r16,8,4,1,PackedBatch.apply_many,8,64,0.05,8,0,8,9.45000016751e-05,5.9062501047,0.169312166311,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,staircase_like,bch_255_239_r16,8,4,1,PackedBlockLUT.apply_many_packed,8,64,0.05,8,0,8,0.000115066669726,7.19166685788,0.139049822491,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,staircase_like,bch_255_239_r16,8,4,3,EventUpdate.integrated,8,64,0.05,24,0,24,0.000203699998868,4.24374997642,0.235640649321,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,staircase_like,bch_255_239_r16,8,4,3,Naive.apply_many,8,64,0.05,24,0,24,0.000352233337859,7.33819453874,0.13627330193,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,staircase_like,bch_255_239_r16,8,4,3,PackedBatch.apply_many,8,64,0.05,24,0,24,0.000342099985573,7.12708303278,0.140309856838,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,staircase_like,bch_255_239_r16,8,4,3,PackedBlockLUT.apply_many_packed,8,64,0.05,24,0,24,0.000403833342716,8.41319463992,0.118860913458,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,staircase_like,bch_255_239_r16,8,8,1,EventUpdate.integrated,8,64,0.05,16,0,16,0.000118933346433,3.71666707603,0.269058266329,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,staircase_like,bch_255_239_r16,8,8,1,Naive.apply_many,8,64,0.05,16,0,16,0.000215799993991,6.74374981221,0.14828545362,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,staircase_like,bch_255_239_r16,8,8,1,PackedBatch.apply_many,8,64,0.05,16,0,16,0.000214166667623,6.69270836321,0.149416341745,0,True,trace-level workload only; no BER; no full decoder,1
