preset,workload_type,code_profile,num_blocks,window_len,num_iterations_or_steps,backend_or_method,block_width,batch_size,density,num_syndrome_calls,num_candidate_tests,num_event_updates,mean_total_runtime_s,mean_latency_per_component_us,mean_throughput_Mcomponent_s,std_latency_per_component_us,correctness_all_true,notes,num_rows
lightweight,ofec_like,ebch_256_239_r17,8,4,1,EventUpdate.integrated,8,64,0.05,8,256,8,0.00148283333207,5.45159313262,0.183432617892,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,ofec_like,ebch_256_239_r17,8,4,1,Naive.apply_many,8,64,0.05,8,256,8,0.00146273335364,5.3776961531,0.185953235648,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,ofec_like,ebch_256_239_r17,8,4,1,PackedBatch.apply_many,8,64,0.05,8,256,8,0.00145873334259,5.3629902301,0.186463140355,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,ofec_like,ebch_256_239_r17,8,4,1,PackedBlockLUT.apply_many_packed,8,64,0.05,8,256,8,0.000260366670166,0.957230405024,1.04468056463,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,ofec_like,ebch_256_239_r17,8,4,3,EventUpdate.integrated,8,64,0.05,24,768,24,0.00450483333164,5.52062908289,0.181138776937,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,ofec_like,ebch_256_239_r17,8,4,3,Naive.apply_many,8,64,0.05,24,768,24,0.00457683335602,5.60886440688,0.178289209269,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,ofec_like,ebch_256_239_r17,8,4,3,PackedBatch.apply_many,8,64,0.05,24,768,24,0.00451406665767,5.53194443342,0.180768265487,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,ofec_like,ebch_256_239_r17,8,4,3,PackedBlockLUT.apply_many_packed,8,64,0.05,24,768,24,0.000801066654579,0.981699331592,1.01864182629,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,ofec_like,ebch_256_239_r17,8,8,1,EventUpdate.integrated,8,64,0.05,8,256,8,0.0015205333281,5.59019605919,0.17888460251,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,ofec_like,ebch_256_239_r17,8,8,1,Naive.apply_many,8,64,0.05,8,256,8,0.0015267333365,5.61299020774,0.178158158662,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,ofec_like,ebch_256_239_r17,8,8,1,PackedBatch.apply_many,8,64,0.05,8,256,8,0.00145469999795,5.34816175715,0.186980133625,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,ofec_like,ebch_256_239_r17,8,8,1,PackedBlockLUT.apply_many_packed,8,64,0.05,8,256,8,0.000305599998683,1.12352940692,0.890052359857,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,ofec_like,ebch_256_239_r17,8,8,3,EventUpdate.integrated,8,64,0.05,24,768,24,0.00478659999014,5.86593136046,0.170475912272,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,ofec_like,ebch_256_239_r17,8,8,3,Naive.apply_many,8,64,0.05,24,768,24,0.00474826667535,5.81895425901,0.171852184342,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,ofec_like,ebch_256_239_r17,8,8,3,PackedBatch.apply_many,8,64,0.05,24,768,24,0.00493603333598,6.04906046076,0.165314928903,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,ofec_like,ebch_256_239_r17,8,8,3,PackedBlockLUT.apply_many_packed,8,64,0.05,24,768,24,0.00081169999127,0.994730381458,1.00529753453,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,bch_255_239_r16,32,4,1,EventUpdate.integrated,8,64,0.05,64,0,0,0.000384533331574,6.00833330585,0.166435507003,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,bch_255_239_r16,32,4,1,Naive.apply_many,8,64,0.05,64,0,0,0.000421566675262,6.58697930097,0.151814656508,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,bch_255_239_r16,32,4,1,PackedBatch.apply_many,8,64,0.05,64,0,0,0.000402366664882,6.28697913877,0.159058902205,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,bch_255_239_r16,32,4,1,PackedBlockLUT.apply_many_packed,8,64,0.05,64,0,0,0.000152333348524,2.38020857068,0.420131249133,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,bch_255_239_r16,32,4,3,EventUpdate.integrated,8,64,0.05,192,0,0,0.00115456666875,6.01336806641,0.166296156988,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,bch_255_239_r16,32,4,3,Naive.apply_many,8,64,0.05,192,0,0,0.00123133333788,6.41319446812,0.15592853218,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,bch_255_239_r16,32,4,3,PackedBatch.apply_many,8,64,0.05,192,0,0,0.00109666667413,5.71180559443,0.175075986651,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,bch_255_239_r16,32,4,3,PackedBlockLUT.apply_many_packed,8,64,0.05,192,0,0,0.000417166661161,2.17274302688,0.460247708831,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,bch_255_239_r16,32,8,1,EventUpdate.integrated,8,64,0.05,64,0,0,0.000404666662992,6.32291660925,0.158154861403,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,bch_255_239_r16,32,8,1,Naive.apply_many,8,64,0.05,64,0,0,0.000423400003153,6.61562504926,0.151157296938,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,bch_255_239_r16,32,8,1,PackedBatch.apply_many,8,64,0.05,64,0,0,0.000404599995818,6.32187493466,0.158180921062,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,bch_255_239_r16,32,8,1,PackedBlockLUT.apply_many_packed,8,64,0.05,64,0,0,0.000152733332167,2.38645831511,0.419030994033,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,bch_255_239_r16,32,8,3,EventUpdate.integrated,8,64,0.05,192,0,0,0.00105130001126,5.475520892,0.182631026294,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,bch_255_239_r16,32,8,3,Naive.apply_many,8,64,0.05,192,0,0,0.00121303333435,6.31788194975,0.158280893495,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,bch_255_239_r16,32,8,3,PackedBatch.apply_many,8,64,0.05,192,0,0,0.00113823332746,5.92829858053,0.168682461994,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,bch_255_239_r16,32,8,3,PackedBlockLUT.apply_many_packed,8,64,0.05,192,0,0,0.000380400005573,1.98125002902,0.504731853805,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,bch_255_239_r16,8,4,1,EventUpdate.integrated,8,64,0.05,16,0,0,0.000106799998321,6.67499989504,0.149812736438,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,bch_255_239_r16,8,4,1,Naive.apply_many,8,64,0.05,16,0,0,0.000113766659827,7.11041623921,0.140638742706,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,bch_255_239_r16,8,4,1,PackedBatch.apply_many,8,64,0.05,16,0,0,0.000108900014311,6.80625089444,0.146923763979,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,bch_255_239_r16,8,4,1,PackedBlockLUT.apply_many_packed,8,64,0.05,16,0,0,0.000129266661437,8.07916633979,0.123775146834,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,bch_255_239_r16,8,4,3,EventUpdate.integrated,8,64,0.05,48,0,0,0.000338066660333,7.04305542361,0.141983832279,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,bch_255_239_r16,8,4,3,Naive.apply_many,8,64,0.05,48,0,0,0.000352833323025,7.3506942297,0.136041572231,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,bch_255_239_r16,8,4,3,PackedBatch.apply_many,8,64,0.05,48,0,0,0.000346366665326,7.21597219429,0.138581465265,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,bch_255_239_r16,8,4,3,PackedBlockLUT.apply_many_packed,8,64,0.05,48,0,0,0.000415399981042,8.6541662717,0.115551281152,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,bch_255_239_r16,8,8,1,EventUpdate.integrated,8,64,0.05,16,0,0,0.00010379999488,6.48749967998,0.154142589492,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,bch_255_239_r16,8,8,1,Naive.apply_many,8,64,0.05,16,0,0,0.000105000004017,6.56250025107,0.152380946551,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,bch_255_239_r16,8,8,1,PackedBatch.apply_many,8,64,0.05,16,0,0,9.8700033656e-05,6.1687521035,0.162107340872,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,bch_255_239_r16,8,8,1,PackedBlockLUT.apply_many_packed,8,64,0.05,16,0,0,0.000139333327146,8.7083329466,0.114832540985,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,bch_255_239_r16,8,8,3,EventUpdate.integrated,8,64,0.05,48,0,0,0.000308800003647,6.4333334093,0.155440412672,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,bch_255_239_r16,8,8,3,Naive.apply_many,8,64,0.05,48,0,0,0.00034146666682,7.11388889209,0.140570089745,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,bch_255_239_r16,8,8,3,PackedBatch.apply_many,8,64,0.05,48,0,0,0.000353899997814,7.37291662113,0.135631535169,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,bch_255_239_r16,8,8,3,PackedBlockLUT.apply_many_packed,8,64,0.05,48,0,0,0.000414533327178,8.63611098288,0.11579286116,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,ebch_256_239_r17,32,4,1,EventUpdate.integrated,8,64,0.05,64,0,0,0.000348899998547,5.4515624773,0.183433649374,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,ebch_256_239_r17,32,4,1,Naive.apply_many,8,64,0.05,64,0,0,0.000355066673364,5.54791677132,0.180247837381,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,ebch_256_239_r17,32,4,1,PackedBatch.apply_many,8,64,0.05,64,0,0,0.000358466679851,5.60104187268,0.178538211771,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,ebch_256_239_r17,32,4,1,PackedBlockLUT.apply_many_packed,8,64,0.05,64,0,0,0.000128033338115,2.00052090804,0.499869806899,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,ebch_256_239_r17,32,4,3,EventUpdate.integrated,8,64,0.05,192,0,0,0.00111250001161,5.7942708938,0.172584267862,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,ebch_256_239_r17,32,4,3,Naive.apply_many,8,64,0.05,192,0,0,0.0010763000076,5.60572920626,0.178388923761,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,ebch_256_239_r17,32,4,3,PackedBatch.apply_many,8,64,0.05,192,0,0,0.00113783334382,5.92621533239,0.168741759101,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,ebch_256_239_r17,32,4,3,PackedBlockLUT.apply_many_packed,8,64,0.05,192,0,0,0.000387133331969,2.01631943734,0.495953161727,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,ebch_256_239_r17,32,8,1,EventUpdate.integrated,8,64,0.05,64,0,0,0.000388466675455,6.06979180399,0.164750296599,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,ebch_256_239_r17,32,8,1,Naive.apply_many,8,64,0.05,64,0,0,0.00042723332687,6.67552073234,0.149801047753,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,ebch_256_239_r17,32,8,1,PackedBatch.apply_many,8,64,0.05,64,0,0,0.000486666666499,7.60416666405,0.13150684936,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,ebch_256_239_r17,32,8,1,PackedBlockLUT.apply_many_packed,8,64,0.05,64,0,0,0.000210366677493,3.28697933583,0.30423069263,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,ebch_256_239_r17,32,8,3,EventUpdate.integrated,8,64,0.05,192,0,0,0.00108093333741,5.62986113235,0.177624274648,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,ebch_256_239_r17,32,8,3,Naive.apply_many,8,64,0.05,192,0,0,0.0013042333303,6.79288192866,0.147212922365,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,ebch_256_239_r17,32,8,3,PackedBatch.apply_many,8,64,0.05,192,0,0,0.00111029999486,5.78281247322,0.172926236953,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,ebch_256_239_r17,32,8,3,PackedBlockLUT.apply_many_packed,8,64,0.05,192,0,0,0.00046333334952,2.41319452875,0.414388474732,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,ebch_256_239_r17,8,4,1,EventUpdate.integrated,8,64,0.05,16,0,0,0.000124166661408,7.76041633799,0.12885906586,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,ebch_256_239_r17,8,4,1,Naive.apply_many,8,64,0.05,16,0,0,0.000122000017048,7.62500106551,0.131147522657,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,ebch_256_239_r17,8,4,1,PackedBatch.apply_many,8,64,0.05,16,0,0,0.000129666664482,8.10416653015,0.123393318274,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,ebch_256_239_r17,8,4,1,PackedBlockLUT.apply_many_packed,8,64,0.05,16,0,0,0.000146133340119,9.13333375744,0.109489046011,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,ebch_256_239_r17,8,4,3,EventUpdate.integrated,8,64,0.05,48,0,0,0.000478199993571,9.96249986606,0.100376412893,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,ebch_256_239_r17,8,4,3,Naive.apply_many,8,64,0.05,48,0,0,0.000300099995608,6.25208324184,0.159946686779,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,ebch_256_239_r17,8,4,3,PackedBatch.apply_many,8,64,0.05,48,0,0,0.000305933334554,6.37361113655,0.156896926809,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,ebch_256_239_r17,8,4,3,PackedBlockLUT.apply_many_packed,8,64,0.05,48,0,0,0.000331166666001,6.89930554169,0.144942124096,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,ebch_256_239_r17,8,8,1,EventUpdate.integrated,8,64,0.05,16,0,0,0.000104233331513,6.51458321954,0.153501761556,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,ebch_256_239_r17,8,8,1,Naive.apply_many,8,64,0.05,16,0,0,0.000252366667458,15.7729167161,0.063399814885,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,ebch_256_239_r17,8,8,1,PackedBatch.apply_many,8,64,0.05,16,0,0,0.00010853332545,6.78333284062,0.147420158128,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,ebch_256_239_r17,8,8,1,PackedBlockLUT.apply_many_packed,8,64,0.05,16,0,0,0.000123833344939,7.73958405868,0.129205909829,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,ebch_256_239_r17,8,8,3,EventUpdate.integrated,8,64,0.05,48,0,0,0.000285700002375,5.95208338281,0.168008399024,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,ebch_256_239_r17,8,8,3,Naive.apply_many,8,64,0.05,48,0,0,0.000302666662416,6.305555467,0.158590310597,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,ebch_256_239_r17,8,8,3,PackedBatch.apply_many,8,64,0.05,48,0,0,0.000285466667265,5.94722223468,0.168145725944,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,product_like,ebch_256_239_r17,8,8,3,PackedBlockLUT.apply_many_packed,8,64,0.05,48,0,0,0.000339999988986,7.08333310387,0.141176475162,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,staircase_like,bch_255_239_r16,32,4,1,EventUpdate.integrated,8,64,0.05,8,0,8,6.86999992467e-05,4.29374995292,0.232896654664,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,staircase_like,bch_255_239_r16,32,4,1,Naive.apply_many,8,64,0.05,8,0,8,0.000116033343753,7.25208398459,0.137891398131,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,staircase_like,bch_255_239_r16,32,4,1,PackedBatch.apply_many,8,64,0.05,8,0,8,0.000118400009039,7.40000056491,0.135135124819,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,staircase_like,bch_255_239_r16,32,4,1,PackedBlockLUT.apply_many_packed,8,64,0.05,8,0,8,0.000139066677851,8.69166736569,0.115052723249,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,staircase_like,bch_255_239_r16,32,4,3,EventUpdate.integrated,8,64,0.05,24,0,24,0.00016173334249,3.36944463521,0.296784814195,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,staircase_like,bch_255_239_r16,32,4,3,Naive.apply_many,8,64,0.05,24,0,24,0.000299266655929,6.23472199853,0.160392075258,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,staircase_like,bch_255_239_r16,32,4,3,PackedBatch.apply_many,8,64,0.05,24,0,24,0.00028966666044,6.03472209251,0.165707713573,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,staircase_like,bch_255_239_r16,32,4,3,PackedBlockLUT.apply_many_packed,8,64,0.05,24,0,24,0.000332699991607,6.93124982515,0.144274124469,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,staircase_like,bch_255_239_r16,32,8,1,EventUpdate.integrated,8,64,0.05,16,0,16,0.000144466660762,4.5145831488,0.221504392995,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,staircase_like,bch_255_239_r16,32,8,1,Naive.apply_many,8,64,0.05,16,0,16,0.000237266668895,7.41458340296,0.134869344055,0,True,trace-level workload only; no BER; no full decoder,1
